"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"33001851","19750121","20210815","七星化學製藥股份有限公司","SEVEN STAR PHARMACEUTICAL CO., LTD.","新北市土城區福安街75號","No. 75, Fu’an St., Tucheng Dist., New Taipei City 23679, Taiwan (R.O.C.)","林O暉","02-22685871","02-22681706","有","有"
"33002211","19780216","20210812","利明週邊有限公司","LEE MING INDUSTRIAL CO., LTD.","新北市中和區連城路268號16樓之4","16F.-4, No. 268, Liancheng Rd., Zhonghe Dist., New Taipei City 23553, Taiwan (R.O.C.)","于O蘭","02-82261912","02-82273288","有","有"
"33002824","19780515","20210812","大來紡織股份有限公司","DOLLAR TEXTILE CORPORATION.","臺北市大同區長安西路51之1號1樓","1 F., No. 51-1, Chang’an W. Rd., Datong Dist., Taipei City 10351, Taiwan (R.O.C.)","林O名","02-27038978","02-27035870","有","有"
"33003345","19741021","20221221","三友陶磁股份有限公司","SHAN YEOU POTTERY CO., LTD.","新北市鶯歌區大湖路137號","No. 137, Dahu Rd., Yingge Dist., New Taipei City 239008, Taiwan (R.O.C.)","張O明","02-26793535","02-26793489","有","有"
"33003400","19890818","20210813","祥駿紙工業有限公司","SHYANG JIUNN PAPER INDUSTRIAL CO., LTD.","臺北市士林區士商路68號2樓","2 F., No. 68, Shishang Rd., Shilin Dist., Taipei City 11168, Taiwan (R.O.C.)","馮O議","02-29668148-9","02-29684128","有","有"
"33003963","19790403","20230119","太幸精密工業股份有限公司","TA SHIN PRECISION INDUSTRIAL CO., LTD.","新北市中和區建康路130號3樓之2及之3","3 F.-2, No. 130, Jiankang Rd., Zhonghe Dist., New Taipei City 235603, Taiwan (R.O.C.)","王O昌","22287791","22287796","有","有"
"33004512","19760517","20220923","大光高級耐火廠股份有限公司","TA KWANG REFRACTORY WORKS CO., LTD.","新北市鶯歌區鶯桃路296巷56號","No. 56, Ln. 296, Yingtao Rd., Yingge Dist., New Taipei City 239012, Taiwan (R.O.C.)","張O民","02-26792127","","有","有"
"33004626","19741204","20210813","大榮鐘錶工業股份有限公司","TA RONG WATCH INDUSTRY CO., LTD.","新北市中和區景安路167巷18號","No. 18, Ln. 167, Jing’an Rd., Zhonghe Dist., New Taipei City 23571, Taiwan (R.O.C.)","李O德","02-29425683","","有","有"
"33005202","19940429","20210814","三田工業股份有限公司","SAN TIEN INDUSTRY CO., LTD.","新北市板橋區中山路2段412巷21弄3號1樓","1 F., No. 3, Aly. 21, Ln. 412, Sec. 2, Zhongshan Rd., Banqiao Dist., New Taipei City 22068, Taiwan (R.O.C.)","黃O姍","02-29616864","","有","有"
"33005435","19920724","20210813","六三友塑膠股份有限公司","LIOW SAN YEOU PLASTIC CO., LTD.","新北市板橋區中山路2段60巷9號","No. 9, Ln. 60, Sec. 2, Zhongshan Rd., Banqiao Dist., New Taipei City 22067, Taiwan (R.O.C.)","卓O富","02-29614037","","有","有"
