"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"38018607","19740815","20230308","正大尼龍工業股份有限公司","JANG DAH NYLON INDUSTRIAL CORP., LTD.","臺北市中山區南京東路1段15號4樓之3","4 F.-3, No. 15, Sec. 1, Nanjing E. Rd., Zhongshan Dist., Taipei City 104010, Taiwan (R.O.C.)","何O豪","02-25428688","","有","有"
"38019280","19770907","20210815","立德電子股份有限公司","LEADER ELECTRONICS INC.","新北市新店區寶橋路235巷138號8樓","8 F., No. 138, Ln. 235, Baoqiao Rd., Xindian Dist., New Taipei City 23145, Taiwan (R.O.C.)","包O詒","02-81953058","02-89121157","有","有"
"38019423","19740717","20221005","永豐紙業股份有限公司","YUEN FOONG PAPER CO., LTD.","新北市土城區中央路1段365巷7號6樓及1樓","6F. and 1F., No. 7, Ln. 365, Sec. 1, Zhongyang Rd., Tucheng Dist., New Taipei City 236028, Taiwan (R.O.C.)","何O川","02-22668944","02-22709101","有","有"
"38033305","19760517","20230303","台硝股份有限公司","T.N.C. INDUSTRIAL CO., LTD.","桃園市桃園區中正路1071號19樓","19 F., No. 1071, Zhongzheng Rd., Taoyuan Dist., Taoyuan City 330010, Taiwan (R.O.C.)","林O信","03-3566289","03-3562400","有","有"
"38035979","19920728","20210812","成石股份有限公司","CHEN SHR CO., LTD.","新北市新店區安業街275號之1","No. 275-1, Anye St., Xindian Dist., New Taipei City 23159, Taiwan (R.O.C.)","林O霞","02-23965211","02-23515277","有","有"
"38036160","19781127","20210814","為福有限公司","NEW FUSION TRADING CO., LTD.","桃園市蘆竹區羊稠里吉林路121號13樓","13 F., No. 121, Jilin Rd., Yangchou Vil., Luzhu Dist., Taoyuan City 33850, Taiwan (R.O.C.)","王O漢","03-3126707","03-3125860","有","有"
"38040684","20220427","20220427","明華生醫股份有限公司","Ming Hwa Bio-Med Inc.","新北市新莊區中華路2段13號7樓","7 F., No. 13, Sec. 2, Zhonghua Rd., Xinzhuang Dist., New Taipei City 24249, Taiwan (R.O.C.)","王O霓","02-29908305","","有","有"
"38054700","19940926","20210813","幸瑞陽有限公司","SING-RAY OIL CO., LTD.","桃園市平鎮區興隆路85號","No. 85, Xinglong Rd., Pingzhen Dist., Taoyuan City 32460, Taiwan (R.O.C.)","張O柏","03-4806767","03-4807000","有","有"
"38056806","20190712","20210811","東興銀樓","DONG SING JEWELLERY CO.","新北市新店區光明街59號1樓","1 F., No. 59, Guangming St., Xindian Dist., New Taipei City 23147, Taiwan (R.O.C.)","尤O佳","02-29148888","02-29125110","有","有"
"38060442","19780626","20220930","恆成鐵工廠股份有限公司","HENG CHEN IRON WORKS CO., LTD.","臺北市大安區仁愛路4段232號6樓之4","6 F.-4, No. 232, Sec. 4, Ren'ai Rd., Da'an Dist., Taipei City 106065, Taiwan (R.O.C.)","蘇O富枝","02-27027905","02-27025617","無","無"
"38071503","19991012","20230719","烏來觀光事業股份有限公司","WULAI TOURISM CO., LTD.","新北市烏來區瀑布路1之1號","No. 1-1, Pubu, Wulai Dist., New Taipei City 233001, Taiwan (R.O.C.)","朱O達","02-26616009","02-26616054","有","有"
"38077507","19750121","20210813","益豐化工廠股份有限公司","YI FONG CHEMICAL FACTORY LTD.","新北市新店區中正路四維巷2弄8號1樓","1 F., No. 8, Aly. 2, Siwei Ln., Zhongzheng Rd., Xindian Dist., New Taipei City 23148, Taiwan (R.O.C.)","蔣O榮","02-22185777","02-22186227","有","有"
"38079435","20070530","20220610","祥修機械廠有限公司","SHANG SHUI MACHINERY CO., LTD.","新北市新店區安和路3段91號2樓","2 F., No. 91, Sec. 3, Anhe Rd., Xindian Dist., New Taipei City 23159, Taiwan (R.O.C.)","連O興","02-26689697","02-26689695","有","有"
"38079717","20021001","20210811","清貴肉店","CHNG KUEI SHOP","新北市新店區寶元路２段５３號１樓","1 F., No. 53, Sec. 2, Baoyuan Rd., Xindian Dist., New Taipei City 23144, Taiwan (R.O.C.)","王O貴","25713210","24632669","有","有"
