"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"76001900","20130131","20130131","財團法人私立高雄醫學大學","KAOHSIUNG MEDICAL UNIVERSITY","高雄市三民區十全一路１００號","NO.100, SHIQUAN 1ST RD., SANMIN DIST., KAOHSIUNG CITY 807, TAIWAN (R.O.C.)","陳O植","07-3208121","07-3213931","有","有"
"76012913","19890724","20221103","臺灣時報社股份有限公司","TAIWAN TIMES","高雄市仁武區高楠公路32號","No. 32, Gaonan Highway, Renwu Dist., Kaohsiung City 814032, Taiwan (R.O.C.)","王O仁","07-3428666","07-3102828","有","有"
"76025017","19900601","20230707","台灣雙葉電子股份有限公司","TAIWAN FUTABA ELECTRONICS CORPORATION","高雄市楠梓區新開發路1號","No. 1, Xinkaifa Rd., Nanzi Dist., Kaohsiung City 811638, Taiwan (R.O.C.)","加O雅弘","07-3612321","07-3642876","有","有"
"76025023","19860616","20221224","宏萊實業股份有限公司","HSIN HWA CHEMICAL CO., LTD.","屏東縣枋寮鄉東海村永翔路1號","No. 1, Yongxiang Rd., Donghai Vil., Fangliao Township,  Pingtung County 940001, Taiwan (R.O.C.)","黃O勳","08-8667725","08-8667732","有","有"
"76025059","19860616","20221231","台灣愛光塑膠股份有限公司","AI-KUNG PLASTICS CORP. TAIWAN","高雄市楠梓區內環南路30號","No. 30, Neihuan S. Rd., Nanzih Dist., Kaohsiung City 811622, Taiwan (R.O.C.)","馬O","","","有","有"
"76025298","19910914","20220714","台灣丸和電子股份有限公司","MARUWA ELECTRONICS (TAIWAN) CO., LTD.","桃園市桃園區新埔六街97號9樓","9 F., No. 97, Xinpu 6th St., Taoyuan Dist., Taoyuan City 330007, Taiwan (R.O.C.)","後O孝市","03-3587301","03-3587331","有","有"
"76025332","19920314","20231223","台灣東京輕電機股份有限公司","TOKYO KEIDENKI CORP., TAIWAN","高雄市楠梓區開發路15號","No. 15, Kaifa Rd., Nanzi Dist., Kaohsiung City 811637, Taiwan (R.O.C.)","李O忠","","","有","有"
"76025369","19900610","20230408","龍生工業股份有限公司","DRAGONJET CORPORATION","新北市樹林區忠義街24號","No. 24, Zhongyi St., Shulin Dist., New Taipei City 238035, Taiwan (R.O.C.)","黃O成","02-26896926","02-26896932","有","有"
"76025375","19860616","20230415","英特科學股份有限公司","INTERSS TAIWAN LIMITED","高雄市楠梓區西二街7號","No. 7, W. 2nd St., Nanzi Dist., Kaohsiung City 811625, Taiwan (R.O.C.)","柴O真利","07-3612718","07-3635251","有","有"
"76025396","19860617","20230105","楠梓印刷工業股份有限公司","NANTZE PRINTING IND CO., LTD.","高雄市左營區洲仔北街53號","No. 53, Zhouzai N. St., Zuoying Dist., Kaohsiung City 813014, Taiwan (R.O.C.)","前O信行","","","有","有"
