"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"92001717","20080513","20080513","中華民國購物中心協會","TAIWAN COUNCIL OF SHOPPING CENTERS","臺北市大安區敦化南路１段２２５號４樓之７","4F.-7, NO.225, SEC. 1, DUNHUA S. RD., DA-AN DISTRICT, TAIPEI CITY 106, TAIWAN (R.O.C.)","劉O東","02-27923037","02-27923229","有","有"
"92004144","20140820","20140820","中華賽車會","CHINESE TAIPEI MOTOR SPORTS ASSOCIATION","臺北市八德路四段５５號２樓","2F., NO.55, SEC. 4, BADE RD., SONGSHAN DIST., TAIPEI CITY 10561, TAIWAN","楊O榮","02-27645169","02-27645040","有","有"
"92012708","20210420","20210420","財團法人平安社會福利慈善事業基金會","THE JURIDICAL PERSON OF THE PEACE SOCIAL WELFARE AND CHARITY FOUNDATION","台北市大安區羅斯福路三段２６９巷３號","NO. 3, LN. 269, SEC. 3, ROOSEVELT RD., DA’AN DIST., TAIPEI CITY 106613, TAIWAN (R.O.C.)","兵O隆","08-7378402","","有","有"
"92013636","20230706","20230706","指惑美學館","Allure Aesthetics Studio","高雄市楠梓區土庫二路188號19樓之9","No. 188, Tuku 2nd Rd., Nanzi Dist., Kaohsiung City 811535, Taiwan (R.O.C.)","張O秀","0970696565","","有","有"
"92017339","20170116","20170116","財團法人福祿文化基金會","FU LU CULTURE FOUNDATION","臺北市北投區幽雅路３２號","NO.32, YOUYA RD., BEITOU DIST., TAIPEI CITY 11243, TAIWAN (R.O.C.)","張O明","02-28912318","02-28943176","有","有"
"92019239","20071114","20240617","財團法人國家衛生研究院","NATIONAL HEALTH RESEARCH INSTITUTES","苗栗縣竹南鎮科研路３５號","NO.35, KEYAN RD., ZHUNAN TOWN, MIAOLI COUNTY 350, TAIWAN (R.O.C.)","司O惠康","037-206166","037-587405","有","有"
"92019300","20240320","20240320","中華民國划船協會","CHINESE TAIPEI Rowing Association","臺北市中山區朱崙街２０號７０７室","Rm. 707, No. 20, Zhulun St., Zhongshan Dist., Taipei City 10489, Taiwan (R.O.C.)","洪O昌","02-87711434","02-27735756","有","有"
"92024514","20211008","20211008","中華民國舉重協會","CHINESE TAIPEI WEIGHTLIFTING ASSOCIATION.","臺北市中山區朱崙街２０號５０２Ａ室","RM. 502A, No. 20, Zhulun St., Zhongshan Dist., Taipei City 104703, Taiwan (R.O.C.)","張O寶蓮","02-27110823","","有","有"
"92025598","20230425","20230425","心達實業社","Cinda retail enterprise Company","高雄市鳳山區西湖街14巷7號","No. 7, Ln. 14, Xihu St., Fengshan Dist., Kaohsiung City 830072, Taiwan (R.O.C.)","陳O心","0918178535","","有","有"
"92026647","20230208","20230208","財團法人鄧麗君文教基金會","TERESA TENG FOUNDATION","台北市光復南路306號5樓","5F., no.306, Guang-Fu S. Rd., Da-An Dist., Taipei City 106, Taiwan (R.O.C.)","鄧O富","02-87731985","","有","有"
