"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"82000648","19980513","20210813","永豐全企業有限公司","YUNG-TONG CHUANG ENTERPRISE CO., LTD.","高雄市鼓山區鼓山二路27號","No. 27, Gushan 2nd Rd., Gushan Dist., Kaohsiung City 80446, Taiwan (R.O.C.)","莊O惠","07-5215851","07-5315664","有","有"
"82001528","19780814","20220824","第一伸銅科技股份有限公司","FIRST COPPER TECHNOLOGY CO., LTD.","高雄市前金區中正四路170號4樓","4 F., No. 170, Chungcheng 4th Rd., Qianjin Dist., Kaohsiung City 801611, Taiwan (R.O.C.)","王O仁","07-2814161","07-2819153","有","有"
"82002054","19750307","20240531","東雄機器廠股份有限公司","TUNG HSIUNG MACHINERY CO., LTD.","高雄市新興區洛陽街11號","No. 11, Luoyang St., Xinxing Dist., Kaohsiung City 800008, Taiwan (R.O.C.)","謝O末枝","07-8111898","07-8213295","有","有"
"82002385","19741011","20250108","新昇發造船股份有限公司","SHING SHENG FA BOAT BUILDING CO., LTD.","高雄市旗津區中洲二路464號","No. 464, Zhongzhou 2nd Rd., Qijin Dist., Kaohsiung City 80544, Taiwan (R.O.C.)","黃O達","07-5715631-3","07-5717011","有","有"
"82003976","20220428","20230203","我得知訊育樂工作室","Pew Logic Studio","新竹縣竹北市中崙里光明九路168號2樓之1","2 F.-1, No. 168, Guangming 9th Rd., Zhonglun Vil., Zhubei City, Hsinchu County 302048, Taiwan (R.O.C.)","王O萍","0929351522","","有","有"
"82004026","20181120","20230506","益豆優全豆漿店","GoodSeeds soy beverage shop","新竹縣竹北市東興里光明六路東二段23號1樓","1 F., No. 23, Dong Sec. 2, Guangming 6th Rd., Dongxing Vil., Zhubei City, Hsinchu County 302042, Taiwan (R.O.C.)","楊O烜","03-6585330","","無","無"
"82004118","20180606","20210811","鉄古商號","T-GO Metal & Vintage shop","新竹縣湖口鄉鳳凰村大勇路２巷５５號1樓","1 F., No. 55, Ln. 2, Dayong Rd., Hukou Township, Hsinchu County 30353, Taiwan (R.O.C.)","翁O傑","0920-397259","03-5333571","有","有"
"82004172","20190618","20210811","牧牛餐坊","muniu1997 shop","新竹縣竹北市鹿場里自強七街４８號一樓","1 F., No. 48, Ziqiang 7th St., Luchang Vil., Zhubei City, Hsinchu County 30264, Taiwan (R.O.C.)","楊O宏","03-6581997","","有","有"
"82004308","20190902","20220705","詮盛起重工程行","Chuan Sheng Crane Industrial Co.","新竹縣湖口鄉中勢村貴州街28號1樓","1 F., No. 28, Guizhou St., Hukou Township, Hsinchu County 303116, Taiwan (R.O.C.)","姜O翰","035991130","","有","有"
"82004721","20140512","20250319","天發勞務工程處","TIEN FA LABOR ENGINEERING SERVICE CO.","高雄市鼓山區興宗里鼓山２路１１７號","No. 117, Gushan 2nd Rd., Xingzong Vil., Gushan Dist., Kaohsiung City 804007, Taiwan (R.O.C.)","蔡O蘭","07-5513752","07-5513753","有","有"
"82005334","20220316","20220316","飛特商行","fittest hang","新竹縣湖口鄉愛勢村民族街259號1樓","1 F., No. 259, Minzu St., Hukou Township, Hsinchu County 30342, Taiwan (R.O.C.)","吳O秀","0928-887435","","有","有"
"82005398","19781004","20230120","大威鋁品工業股份有限公司","TA WEI ALUMINUM PRODUCTS CO., LTD.","高雄市仁武區工業一路6之1號","No. 6-1, Gongye 1st Rd., Renwu Dist., Kaohsiung City 814036, Taiwan (R.O.C.)","王O瑞","07-3723761","07-3712385","有","有"
"82005931","19960524","20210813","新興造船廠股份有限公司","SHING KOO BUILDING SHIP & CO., LTD.","高雄市旗津區中洲三路108巷98號","No. 98, Ln. 108, Zhongzhou 3rd Rd., Qijin Dist., Kaohsiung City 80544, Taiwan (R.O.C.)","郭O正","07-5712713","","有","有"
"82006328","20230509","20230509","益登科技企業社","Yideng3C Company","新竹縣竹北市竹北里博愛街458號1樓","1 F., No. 458, Bo’ai St., Zhubei Vil., Zhubei City, Hsinchu County 302045, Taiwan (R.O.C.)","陳O琪","03-5552186","","有","有"
"82006586","20061220","20210811","一光行","E KUANG CO.","高雄市鼓山區大榮街３３號１樓","1 F., No. 33, Darong St., Gushan Dist., Kaohsiung City 80449, Taiwan (R.O.C.)","許O偉","07-5613664","07-5211456","有","有"
