"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"68000111","20180326","20230502","燿森電子有限公司","Yiu Sen CO., LTD.","新北市樹林區中山路3段155巷14弄18號2樓","2 F., No. 18, Aly. 14, Ln. 155, Sec. 3, Zhongshan Rd., Shulin Dist., New Taipei City 238012, Taiwan (R.O.C.)","陳O燕","02-8686-8002","02-8192-7390","有","有"
"68001316","19880227","20210814","一德藥品廠股份有限公司","I DEH MEDICAL FACTORY CO., LTD.","臺南市南區新忠路18號","No. 18, Xinzhong Rd., South Dist., Tainan City 70252, Taiwan (R.O.C.)","蔡O山","06-2633035","06-2651008","有","有"
"68003010","20171109","20230309","睿風國際貿易有限公司","RUI FENG CLOTHING FASHION CO., LTD.","新北市中和區景平路25號(1樓)","1 F., No. 25, Jingping Rd., Zhonghe Dist., New Taipei City 235078, Taiwan (R.O.C.)","林O賓","02-29035501#58","","有","有"
"68006305","20171102","20210815","昇暐科技有限公司","SHENG WEI CAR PARTS CO., LTD.","新北市土城區亞洲路49號(2樓)","2 F., No. 49, Yazhou Rd., Tucheng Dist., New Taipei City 23677, Taiwan (R.O.C.)","黃O媛","0921608893","","有","有"
"68007304","20030919","20210811","十美堂","SHII MEI CO.","臺南市安南區淵西里安中路4段218巷3號1樓","1 F., No. 3, Ln. 218, Sec. 4, Anzhong Rd., Yuanxi Vil., Annan Dist., Tainan City 70961, Taiwan (R.O.C.)","朱O虔","06-222-6553","","無","無"
"68007402","20171102","20210814","頂益興實業有限公司","TEAMFANG CO., LTD.","新北市板橋區大同街45號4樓","4 F., No. 45, Datong St., Banqiao Dist., New Taipei City 22043, Taiwan (R.O.C.)","方O民","02-82572318","02-82595319","有","有"
"68008113","19720301","20210814","力加股份有限公司","RICHARD SOONG & CO., LTD.","臺南市南區西門路1段471巷22號","No. 22, Ln. 471, Sec. 1, Ximen Rd., South Dist., Tainan City 70245, Taiwan (R.O.C.)","宋O夫","06-2254141-5","","有","有"
"68008893","19791124","20230531","九州物產有限公司","KYUSHU BAMBOO CRAFT CO., LTD.","臺南市東區育樂街158巷8號之2","No. 8-2, Ln. 158, Yule St., East Dist., Tainan City 701005, Taiwan (R.O.C.)","","06-2361526","","無","無"
"68009197","19790203","20221019","三燕興業股份有限公司","SAN YANN INDUSTRY CO., LTD.","臺南市東區裕農路291巷23號","No. 23, Ln. 291, Yunong Rd., East Dist., Tainan City 701024, Taiwan (R.O.C.)","杜O民","06-2379151","","有","有"
"68009318","19741210","20220812","大衛企業股份有限公司","DAVID INDUSTRIAL CO., LTD.","臺南市仁德區仁義里中山路95巷8號","No. 8, Ln. 95, Zhongshan Rd., Renyi Vil., Rende Dist., Tainan City 71752, Taiwan (R.O.C.)","許O竹","06-2796227","06-2492674","有","有"
"68009979","20171108","20230328","益緯國際有限公司","Healthy way natural Group Co., Ltd.","新北市汐止區新台五路1段99號18樓之11","18 F.-11, No. 99, Sec. 1, Xintai 5th Rd., Xizhi Dist., New Taipei City 221416, Taiwan (R.O.C.)","林O逸","0226971936#3100","02-26971937","有","有"
"68019239","20221102","20221102","捷升精密股份有限公司","Jensen Precision INC.","新北市新莊區福營路281之10號","No. 281-10, Fuying Rd., Xinzhuang Dist., New Taipei City 242054, Taiwan (R.O.C.)","尹O辰","(02)2908-4888","","有","有"
"68023901","19721128","20221108","大西南貿易有限公司","TAH SHI NAN TRADING CO., LTD.","臺北市大同區迪化街1段163號1樓","1 F., No. 163, Sec. 1, Dihua St., Datong Dist., Taipei City 103003, Taiwan (R.O.C.)","王O禎","02-25537186","02-25574633","有","有"
"68026203","20070821","20241128","大成工程股份有限公司","TA CHEN CONSTRUCTION & ENGINEERING CORP.","臺南市東區中華東路一段398號8樓","8 F., No. 398, Sec. 1, Zhonghua E. Rd., East Dist., Tainan City 701041, Taiwan (R.O.C.)","張O田","06-2821155","06-2823125","有","有"
"68029102","20180118","20220819","思脈國際股份有限公司","SMILE MEDIA INC.","新北市新店區中正路四維巷6號3樓","3 F., No. 6, Siwei Ln., Zhongzheng Rd., Xindian Dist., New Taipei City 231021, Taiwan (R.O.C.)","周O舫","02-27030803","","有","有"
"68033302","20020920","20210812","大東亞西藥房","DADONGYA CO.","臺南市中西區安海里環河街132號","No. 132, Huanhe St., Anhai Vil., West Central Dist., Tainan City 70054, Taiwan (R.O.C.)","廖O彩","06-2258662","","無","無"
"68035701","19851203","20231209","大和企業股份有限公司","DAH HO ENTERPRISE CO., LTD.","臺南市東區崇善里1鄰仁和路26號","No. 26, Renhe Rd., 1st Neighborhood, Chongshan Vil., East Dist., Tainan City 701043, Taiwan (R.O.C.)","許O昌","06-2681271-2","","有","有"
"68035907","19741224","20241008","大亞電線電纜股份有限公司","TA YA ELECTRIC WIRE & CABLE CO., LTD.","臺南市關廟區關廟里中山路二段249號","No. 249, Sec. 2,  Zhongshan Rd., Guanmiao Vil., Guanmiao Dist.,  Tainan City 718007, Taiwan (R.O.C.)","沈O弘","22997070","22997123","有","有"
"68036103","20171102","20210814","大森光電有限公司","Omori Optoelectronics Co., LTD.","新北市永和區安樂路272巷9弄9號3樓","3 F., No. 9, Aly. 9, Ln. 272, Anle Rd., Yonghe Dist., New Taipei City 23445, Taiwan (R.O.C.)","郭O如","02-82215928","","有","有"
"68038101","20171106","20230214","米特岩科技有限公司","MAITLAND TECHNOLOGIES LTD.","新北市中和區板南路659號5樓","5 F., No. 659, Bannan Rd., Zhonghe Dist., New Taipei City 235030, Taiwan (R.O.C.)","陳O山","02-27712220","02-27712270","有","有"
"68040606","19780826","20240706","三星科技股份有限公司","SAN SHING FASTECH CORP.","臺南市歸仁區中山路三段355-6號1樓","1F., No. 355-6, Sec. 3,  Zhongshan Rd., Guiren Dist.,  Tainan City 711012, Taiwan (R.O.C.)","柯O源","06-2306611","06-2306000","有","有"
"68050505","20171120","20220402","佰驟智能股份有限公司","BOZO INTELLIGENT CO., LTD.","桃園市平鎮區平東路一段178巷28號","No. 28, Ln. 178, Sec. 1, Pingdong Rd., Pingzhen Dist., Taoyuan City 32470, Taiwan (R.O.C.)","陳O如","03-4500668","02-89700869","有","有"
"68052601","20020917","20210811","國泰西藥房","GUOTAI CO.","臺南市北區公園里北門路2段33號1樓","1 F., No. 33, Sec. 2, Beimen Rd., Gongyuan Vil., North Dist., Tainan City 70449, Taiwan (R.O.C.)","許O泰","06-2254177","","有","有"
"68055115","20171121","20231012","曼巴咖啡有限公司","Mamba Coffee Co., Ltd.","新北市新店區央北一路102號","No. 102, Yangbei 1st Rd., Xindian Dist., New Taipei City 231016, Taiwan (R.O.C.)","王O敏","0963385988","02-25210313","有","有"
"68055190","20180125","20210814","喜莉雅實業有限公司","SYLIA CO., LTD.","新北市板橋區重慶路12巷9之3號","No. 9-3, Ln. 12, Chongqing Rd., Banqiao Dist., New Taipei City 22063, Taiwan (R.O.C.)","邱O儒","0912583392","","有","有"
"68055570","20171106","20220616","達博優企業有限公司","DOUBLE BINDER CO.","新北市三重區光復路1段83巷4號6樓","6 F., No. 4, Ln. 83, Sec. 1, Guangfu Rd., Sanchong Dist., New Taipei City 241457, Taiwan (R.O.C.)","王O儀","02-32349997","","有","有"
"68055683","19750722","20220824","大興被服股份有限公司","TAH SHIN COSTUME CO., LTD.","臺南市南區金華路1段420巷2號","No. 2, Ln. 420, Sec. 1, Jinhua Rd., South Dist., Tainan City 702011, Taiwan (R.O.C.)","林O龍","02-25314154","02-25215303","無","無"
