"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"43001319","20160425","20221224","新加坡商寶吉特有限公司台灣分公司","BRIDGETEK PTE. LTD. TAIWAN BRANCH (SINGAPORE)","臺北市內湖區內湖路1段516號2樓","2 F., No. 516, Sec. 1, Neihu Rd., Neihu Dist., Taipei City 114064, Taiwan (R.O.C.)","王O玲WANGHWEI-LIN,CATHY","02-87975691","02-27057800","有","有"
"43002035","19961005","20210813","六發電器股份有限公司","LIOU FA ELECTRIC CO., LTD.","桃園市桃園區寶慶里寶慶路150號6樓","6 F., No. 150, Baoqing Rd., Baoqing Vil., Taoyuan Dist., Taoyuan City 33046, Taiwan (R.O.C.)","蕭O貞","03-3581168","03-3581868","有","有"
"43002062","20160422","20250123","日商可麗娜股份有限公司台灣分公司","CLEANUP CORPORATION, TAIWAN BRANCH (JAPAN)","臺北市大同區南京西路41號13樓之8","13 F.-8, No. 41, Nanjing W. Rd., Datong Dist., Taipei City 103622, Taiwan (R.O.C.)","李O萱LEEYINGHSUAN","02-25589212","02-25589213","有","有"
"43002730","20160901","20230120","緯創生技投資控股股份有限公司","WISTRON MEDICAL TECH HOLDING COMPANY","臺北市內湖區行善路158號6樓","6 F., No. 158, Xingshan Rd., Neihu Dist., Taipei City 114066, Taiwan (R.O.C.)","黃O東","02-6612-6459","02-66122395","有","有"
"43002978","19740313","20210815","大洋洋傘工業股份有限公司","OCEAN UMBRELLA INDUSTRY CO., LTD.","桃園市桃園區同德里中正路1071號6樓之5","6F.-5, No. 1071, Zhongzheng Rd., Tongde Vil., Taoyuan Dist., Taoyuan City 33045, Taiwan (R.O.C.)","陳O年","033-221945-6","","有","有"
"43004168","19831129","20210814","大川醬油食品股份有限公司","TA-CHUAN SOY SAUCE FOODS CO., LTD.","桃園市大溪區介壽路302號","No. 302, Jieshou Rd., Daxi Dist., Taoyuan City 33544, Taiwan (R.O.C.)","吳O卿","033-665370","","有","有"
"43004527","19750626","20221118","三和工業股份有限公司","SAN HO INDUSTRY INC.","桃園市桃園區西埔里永安路1279號","No. 1279, Yong’an Rd., Xipu Vil., Taoyuan Dist., Taoyuan City 330030, Taiwan (R.O.C.)","羅O浩","03-3411161","03-3411399","有","有"
"43004982","20050603","20210812","三才堂製藥廠有限公司","SANTSAITANG CO., LTD.","桃園市楊梅區梅溪里新農街二段209巷61弄9號","No. 9, Aly. 61, Ln. 209, Sec. 2, Xinnong St., Meixi Vil., Yangmei Dist., Taoyuan City 32659, Taiwan (R.O.C.)","鄭O和","03-4315769","03-4817606","有","有"
"43005188","19780804","20221019","大地興機器廠股份有限公司","TA TI HSING MACHINERY CO., LTD.","桃園市桃園區玉山街183巷13弄8號","No. 8, Aly. 13, Ln. 183, Yushan St., Taoyuan Dist., Taoyuan City 330039, Taiwan (R.O.C.)","卓O旺","03-3621848","03-3622907","有","有"
"43005244","20200217","20210811","三星橡膠行","SANHSING RUBBER Co.","桃園市桃園區文化里民族路26號2樓","2 F., No. 26, Minzu Rd., Wenhua Vil., Taoyuan Dist., Taoyuan City 33042, Taiwan (R.O.C.)","楊O興","03-3342645","","有","有"
"43005841","19780504","20210814","大豐洋傘股份有限公司","TA FENG UMBRELLA CO., LTD.","桃園市大園區菓林里三民路2段440、442號1樓","1 F., No. 442, Sec. 2, Sanmin Rd., Dayuan Dist., Taoyuan City 33746, Taiwan (R.O.C.)","徐O田","03-3832953","03-3933424","有","有"
"43008404","20000711","20210812","三合興商行","SANHO HSING COMPANY","桃園市桃園區西埔里永安路１４５４號１樓","1 F., No. 1454, Yong’an Rd., Xipu Vil., Taoyuan Dist., Taoyuan City 33055, Taiwan (R.O.C.)","邱O杏","03-3413666-8","03-3346647","有","有"
