"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"20011167","20020910","20210811","優亞眼鏡行","YOU YAH OPTICAL CO.","新北市新店區中正路133號1樓","1 F., No. 133, Zhongzheng Rd., Xindian Dist., New Taipei City 23146, Taiwan (R.O.C.)","何O俊","04-761-2211","04-761-9641","有","有"
"20013279","20021001","20240910","三猛肉號","SAN MENG SHOP","新北市三重區長生街11號(1樓)","1 F., No. 11, Changsheng St., Sanchong Dist., New Taipei City 241046, Taiwan (R.O.C.)","游O鍚","25713210","24632669","無","無"
"20013783","20170105","20210811","勇信行","BRAVE & TRUST CO.","新北市永和區保安路２６０之１號１樓","1 F., No. 260-1, Bao’an Rd., Yonghe Dist., New Taipei City 23442, Taiwan (R.O.C.)","張O柏良","02-29257789","02-29288439","有","有"
"20014100","20140924","20210812","天誠企業社","SKYHONESTY ENTERPRISE COMPANY","新北市三重區三和路3段125巷42號1樓","1 F., No. 42, Ln. 125, Sec. 3, Sanhe Rd., Sanchong Dist., New Taipei City 24150, Taiwan (R.O.C.)","林O益","02-82828912","02-28482008","有","有"
"20014164","20081001","20230116","和合車料商行","HER HER MOTOR PARTS CO.","新北市三重區仁政街３號１樓","1 F., No. 3, Renzheng St., Sanchong Dist., New Taipei City 241062, Taiwan (R.O.C.)","周O良","02-29840667","02-29840689","無","無"
"20019490","19970124","20210811","鶴岡商行","HUO KANG BUSINESS CO.","新北市土城區裕民路１１６號４樓之４","4F.-4, No. 116, Yumin Rd., Tucheng Dist., New Taipei City 23663, Taiwan (R.O.C.)","陳O輝","","","有","有"
"20020172","20050216","20240412","鼎欣實業社","DING SIN INDUSTRY CO.","新北市鶯歌區中山路107號1樓","1 F., No. 107, Zhongshan Rd., Yingge Dist., New Taipei City 239010, Taiwan (R.O.C.)","邱O香","02-26794897","02-26773588","有","有"
"20021566","20000810","20210812","唐德智作企業社","TAN DER ENTERPRISE CO.","新北市三重區力行路2段6號(1樓)","1 F., No. 6, Sec. 2, Lixing Rd., Sanchong Dist., New Taipei City 24156, Taiwan (R.O.C.)","李OO","02-29893679","02-29880453","有","有"
"20023656","20170605","20210812","淵圍企業社","YUAN WEI HARDWARE ENTERPRISE COMPANY","新北市三重區自強路２段２６巷３３號３樓","3 F., No. 33, Ln. 26, Sec. 2, Ziqiang Rd., Sanchong Dist., New Taipei City 24162, Taiwan (R.O.C.)","許O益","02-29807022","02-29807677","有","有"
"20025373","20220617","20220617","兆陽食品行","Zhaoyang foods company","新北市板橋區信義路163巷9號2樓、11號2樓","2 F., NO. 9,11, LN. 163, XINYI RD., BANQIAO DIST., NEW TAIPEI CITY 220636, TAIWAN (R.O.C.)","陳O妤","02-29551790","","有","有"
"20025520","20111220","20210812","奕昇企業行","E-SHENG HARDWARE ENTERPRISE CO.","新北市五股區民義路2段42之7號","No. 42-7, Sec. 2, Minyi Rd., Wugu Dist., New Taipei City 24858, Taiwan (R.O.C.)","蘇O國","02-82926357","02-22918060","有","有"
"20029498","20061114","20230208","旭鑫企業社","SHIU HSIN TECHNOLOGY CO.","宜蘭縣蘇澳鎮建福路36號一樓","1 F., No. 36, Jianfu Rd., Su’ao Township, Yilan County 270014, Taiwan (R.O.C.)","王O麒","02-27652557","02-27657887","有","有"
"20030734","20020909","20210812","我家商店","MY SWEET HOME STORE","雲林縣北港鎮華勝里民樂路一六０號一樓","1 F., No. 160, Minle Rd., Huasheng Vil., Beigang Township, Yunlin County 65147, Taiwan (R.O.C.)","許O玲","05-7825707","","有","有"
"20031240","20180411","20210811","臺灣農機行","Taiwan Agricultural machinery CO.","雲林縣虎尾鎮頂溪里頂竹圍3之6號","No. 3-6, Dingzhuwei, Dingxi Vil., Huwei Township, Yunlin County 63247, Taiwan (R.O.C.)","蘇O招","05-6221933","05-6224753","有","有"
"20032260","20020913","20210812","德二果菜行","DER ER COMPANY","雲林縣北港鎮新街里新東街三三巷六之一號一樓","1 F., No. 6-1, Ln. 33, Xindong St., Xinjie Vil., Beigang Township, Yunlin County 65152, Taiwan (R.O.C.)","吳O昇","05-7835717","","無","無"
"20034226","20010503","20230110","國瑋牙科器材行","KUO WEI DENTISTRY SUPPLIES CO.","雲林縣虎尾鎮新興里和平路四一號一樓","1 F., No. 41, Heping Rd., Xinxing Vil., Huwei Township, Yunlin County 632002, Taiwan (R.O.C.)","吳O榮","05-6333355","05-6333536","有","有"
