"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"97000028","20080311","20210815","原均企業有限公司","YUAN JUN DECORATOR CO., LTD.","桃園市桃園區大有里大有路336號3樓","3 F., No. 336, Dayou Rd., Dayou Vil., Taoyuan Dist., Taoyuan City 33052, Taiwan (R.O.C.)","李O萍","03-393381","03-3837215","有","有"
"97000110","19981124","20210815","和平工業區專用港實業股份有限公司","HOPING INDUSTRIAL PORT CORPORATION","花蓮縣秀林鄉和平村和工五路6號","No. 6, Hegong 5th Rd., Xiulin Township, Hualien County 97291, Taiwan (R.O.C.)","黃O強","03-8681477","03-8682059","有","有"
"97000218","20130906","20210815","協威特殊金屬股份有限公司","SHARE WELL STEEL CO., LTD.","臺中市豐原區朴子里朴子街296巷3號","No. 3, Ln. 296, Puzi St., Puzi Vil., Fengyuan Dist., Taichung City 42072, Taiwan (R.O.C.)","張O森","04-25244610","04-25279050","有","有"
"97000287","19961226","20210813","方德企業股份有限公司","FUNDER ENTERPRISE CO., LTD.","新竹縣芎林鄉永興村王爺坑39號","No. 39, Wangyekeng, Qionglin Township, Hsinchu County 30746, Taiwan (R.O.C.)","戴O財","03-5923231","03-5923017","有","有"
"97000293","20020605","20210814","宏亮日曆有限公司","HONG LIANG CALENDAR CO., LTD.","彰化縣埔心鄉義民村永坡路3段319號","No. 319, Sec. 3, Yongpo Rd., Puxin Township, Changhua County 51347, Taiwan (R.O.C.)","蔡O鍵","04-829-2166","04-829-7993","有","有"
"97000322","19960725","20210812","松北電子有限公司","SUNG PEI ELECTRONIC CO., LTD.","新北市土城區中央路2段396巷30號","No. 30, Ln. 396, Sec. 2, Zhongyang Rd., Tucheng Dist., New Taipei City 23669, Taiwan (R.O.C.)","黃O燕","02-22690188","","有","有"
"97000337","19960905","20210812","詠翔星實業有限公司","WILL FLY INTERNATIONAL CO., LTD.","新北市淡水區竹圍里民族路12號5樓之2","5F.-2, No. 12, Minzu Rd., Zhuwei Vil., Tamsui Dist., New Taipei City 25170, Taiwan (R.O.C.)","張O華","02-28093247","02-28091974","有","有"
"97000414","20000315","20250619","天尉企業有限公司","TEIN WEIN ENTERPRISE CO., LTD.","新北市新莊區思源路31號","No. 31, Siyuan Rd., Xinzhuang Dist., New Taipei City 242035, Taiwan (R.O.C.)","","02-29934022","02-29939188","無","無"
"97000478","20000718","20230401","萬德豐實業有限公司","WONDERFUL PLASTIC ENTERPRISE CO., LTD.","彰化縣伸港鄉大同村中興十街15號","No. 15, Zhongxing 10th St., Datong Vil., Shengang Township,  Changhua County 509005, Taiwan (R.O.C.)","王O文","04-7988211","04-7993010","有","有"
"97000553","20080411","20221210","澎祖股份有限公司","PENG-TSU FISHERY FOOD COMPANY","澎湖縣白沙鄉赤崁村漁港新村45號","No. 45, Baisha Township, Penghu County 884, Taiwan (R.O.C.)","楊O蓁","06-9261533","06-9213740","有","有"
"97000603","20040426","20210813","倢利實業有限公司","MAC WELL CO., LTD.","新北市新店區新生街17號3樓","3 F., No. 17, Xinsheng St., Xindian Dist., New Taipei City 23147, Taiwan (R.O.C.)","葛O立","0932-037005","03-3793781","有","有"
"97000646","20030409","20221022","沅宜企業有限公司","YUAN YEAH ENTERPRISE CO., LTD.","彰化縣彰化市香山里彰南路2段512巷116弄6號","No. 6, Aly. 116, Ln. 512, Sec. 2, Zhangnan Rd., Xiangshan Vil., Changhua City, Changhua County 500056, Taiwan (R.O.C.)","劉O志","04-738-2763","04-737-0499","有","有"
