"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"50001877","20230130","20230130","鑫兆企業社","XIN ZHAO ENTERPRISE Co.","宜蘭縣礁溪鄉六結村中山路一段２５２號一樓","1 F., No. 252, Sec. 1, Zhongshan Rd., Jiaoxi Township, Yilan County 262004, Taiwan (R.O.C.)","張O鑫","0971290694","","有","無"
"50007400","19760827","20210813","天奇玻璃窯業股份有限公司","TIAN CHYI GLASS & CERAMICS CO., LTD.","苗栗縣竹南鎮佳興里光復路295號","No. 295, Guangfu Rd., Jiaxing Vil., Zhunan Township, Miaoli County 35048, Taiwan (R.O.C.)","劉O娥","036-622013","","有","有"
"50033619","19871023","20210814","永發紙業股份有限公司","YUANG FAN INDUSTRY CO., LTD.","苗栗縣後龍鎮東明里8鄰宏陽路99號","No. 99, Hongyang Rd., 8th Neighborhood, Dongming Vil., Houlong Township, Miaoli County 35650, Taiwan (R.O.C.)","胡O發","037-720561","037-731730","有","有"
"50033929","19831231","20210815","永富針織股份有限公司","YUN FU KNITTING CO., LTD.","新北市泰山區美寧街57巷2號","No. 2, Ln. 57, Meining St., Taishan Dist., New Taipei City 24345, Taiwan (R.O.C.)","陳O樹","02-29092241","","有","有"
"50035308","20161102","20210811","丸鰻企業社","ONE EEL CO.","宜蘭縣羅東鎮南昌里博愛路９４巷１１號","No. 11, Ln. 94, Bo’ai Rd., Nanchang Vil., Luodong Township, Yilan County 26546, Taiwan (R.O.C.)","鄭O廷","0928844004","","有","有"
"50056865","19761019","20210814","光輝鞋業股份有限公司","KUAN HUI FOOTWEAR CO., LTD.","苗栗縣後龍鎮大庄里中山路132號","No. 132, Zhongshan Rd., Dazhuang Vil., Houlong Township, Miaoli County 35645, Taiwan (R.O.C.)","張O雄","037-722111","037-727710","有","有"
"50057013","19770518","20210812","江上企業股份有限公司","CHIANG SHANG ENTERPRISE CO., LTD.","苗栗縣頭份市珊湖里5鄰親民路221號","No. 221, Qinmin Rd., 5th Neighborhood, Shanhu Vil., Toufen City, Miaoli County 35153, Taiwan (R.O.C.)","江O鈞","037-602-818","037-602-978","有","有"
"50065702","19810411","20210814","竹南窯業廠股份有限公司","CHU-NAN CERAMIC WORKS CO., LTD.","苗栗縣西湖鄉二湖村8鄰斧頭坑12-1號","No. 12-1, Futoukeng, 8th Neighborhood, Xihu Township, Miaoli County 36842, Taiwan (R.O.C.)","鄭O袁","037-920398","037-923927","有","有"
"50074977","20230620","20240514","一九一九小吃店","1919 Smoked BBQ Restaurant","宜蘭縣宜蘭市大新里宜興路一段２９８－１號","No. 298-1, Sec. 1,  Yixing Rd., Daxin Vil., Yilan City,  Yilan County 260001, Taiwan (R.O.C.)","林O盛","0989153154","","有","有"
"50075672","20230301","20241005","祈慶實業社","Chipraises Company","新北市新莊區博愛路7巷1號(1樓)及3號(1樓)","1 F., No. 1, Ln. 7, Bo'ai Rd., Xinzhuang Dist., New Taipei City 242035, Taiwan (R.O.C.)","吳O薇","03-9222718","","有","有"
"50085812","19690401","20210815","金保安貿易有限公司","JIN BAO AN TRADING CO., LTD.","苗栗縣竹南鎮中港里迎薰路50號","No. 50, Yingxun Rd., Zhonggang Vil., Zhunan Township, Miaoli County 35042, Taiwan (R.O.C.)","林O佑","037-467-731","","有","有"
"50086798","20190703","20210813","松興工業股份有限公司","SUNG HSING PLASTICS INDUSTRY CO., LTD","苗栗縣後龍鎮豐富里新東路83之10號","No. 83-10, Xindong Rd., Fengfu Vil., Houlong Township, Miaoli County 35649, Taiwan (R.O.C.)","陳O清","037-722722","037-720175","有","有"
"50087966","19830830","20230701","金連鎰工業股份有限公司","KING LEN YE INDUSTRIAL CO., LTD.","苗栗縣頭份市斗煥里中正二路260號","No. 260, Zhongzheng 2nd Rd., Douhuan Vil., Toufen City, Miaoli County 351007, Taiwan (R.O.C.)","李O昌","037-663342","037-676167","無","無"
"50127340","19950419","20210815","信昌窯業股份有限公司","SHINN CHANG POTTERY CO., LTD.","苗栗縣頭份市尖山里尖豐路206巷32號","No. 32, Ln. 206, Jianfeng Rd., Jianshan Vil., Toufen City, Miaoli County 35154, Taiwan (R.O.C.)","王O綸","037-622563","","有","有"
"50141201","20200616","20210815","南信氣體工業股份有限公司","Nan Shinn Gas Co., LTD.","苗栗縣竹南鎮公館里7鄰大埔頂5號","No. 5, Dapuding, 7th Neighborhood, Gongguan Vil., Zhunan Township, Miaoli County 35057, Taiwan (R.O.C.)","温O素月","037-622679","037-611209","有","有"
"50157408","20160504","20210812","朝敏果菜批發行","CHAOMIN VEGETABLES FRUITS FIRM","桃園市平鎮區高雙里民族路三段159巷155號","No. 155, Ln. 159, Sec. 3, Minzu Rd., Gaoshuang Vil., Pingzhen Dist., Taoyuan City 32450, Taiwan (R.O.C.)","黃O駿","03-4950555","03-4951222","無","無"
"50158906","20250211","20250211","尹浤國貿社","Yin Hong International Trade Co.","新北市新店區北新路2段262號3樓之3","3 F.-3, No. 262, Sec. 2, Beixin Rd., Xindian Dist., New Taipei City 231007, Taiwan (R.O.C.)","翁O華","02-25559867","02-25582454","有","有"
"50160276","19930504","20230204","上禮股份有限公司","YIH FENG PAPER CO., LTD.","新竹市振興里南大路648號1樓","1 F., No. 648, Nanda Rd., Zhenxing Vil., East Dist., Hsinchu City 300036, Taiwan (R.O.C.)","林O全","037-462966","037-466879","有","有"
"50176170","20020502","20210811","盛裕碾米廠","SHENG YU RICE-HUSKING FACTORY","苗栗縣後龍鎮埔頂里6鄰中心路120之31號","No. 120-31, Zhongxin Rd., Puding Vil., 6th Neighborhood, Houlong Township, Miaoli County 35652, Taiwan (R.O.C.)","陳O錢仔","037-721343","","有","有"
"50192067","19800827","20240712","朝陽紙業股份有限公司","CHAO YANG PAPER MFG. CO., LTD.","苗栗縣造橋鄉朝陽村朝陽路100號","No. 100, Chaoyang Rd., Chauyang Vil., Zaoqiao Township, Miaoli County 361027, Taiwan (R.O.C.)","張O榤","037-562766","","有","有"
