"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"85000038","20191106","20210815","橙言有限公司","Orange ya Co., Ltd.","臺中市北屯區平順里昌平路一段410巷27號1樓","1 F., No. 27, Ln. 410, Sec. 1, Changping Rd., Pingshun Vil., Beitun Dist., Taichung City 40652, Taiwan (R.O.C.)","魏O嵐","0913737288","","有","有"
"85000229","20191108","20210814","阿蘇士企業有限公司","ASSOCIATED ELECTRICS (TAIWAN), INC.","臺中市西屯區協和里工業區六路7號","No. 7, Gongyequ 6th Rd., Xiehe Vil., Xitun Dist., Taichung City 40755, Taiwan (R.O.C.)","陳O如","","","有","有"
"85000234","20191126","20210814","駿全精密有限公司","Jun Chung Precision Industry CO.,Ltd","臺中市烏日區螺潭里慶光路80之13號","No. 80-13, Qingguang Rd., Luotan Vil., Wuri Dist., Taichung City 41462, Taiwan (R.O.C.)","劉O榮","04-2334-5560","","有","有"
"85000240","20191101","20240524","瑋豐工業有限公司","Well Foam Industry Co.,Ltd","臺中市龍井區竹坑里茄投路一段85巷31號","No. 31, Ln. 85, Sec. 1, Jiatou Rd., Zhukeng Vil., Longjing Dist., Taichung City 43443, Taiwan (R.O.C.)","黄O珍","0982023120","","有","有"
"85000425","20191127","20250103","曜豐國際有限公司","Yao Feng International Co., Ltd.","臺中市西屯區西墩里上墩東街88號13樓之1","13F.-1, No. 88, Shangdun E. St., Xidun Vil., Xitun Dist., Taichung City 40760, Taiwan (R.O.C.)","","04-22547758","04-24264087","無","無"
"85000467","20210330","20230818","雷醫國際股份有限公司","T-CJ biotech Co., Ltd","臺中市南屯區公益路二段51號20樓","20 F., No. 51, Sec. 2, Gongyi Rd., Nantun Dist., Taichung City 408383, Taiwan (R.O.C.)","謝O諺","04-23219233","","有","有"
"85000494","20191119","20210815","津宏科技有限公司","Zinhong Technology Co., Ltd.","臺中市北區賴厝里太原路二段39號7樓之2","7F.-2, No. 39, Sec. 2, Taiyuan Rd., Laicuo Vil., North Dist., Taichung City 40465, Taiwan (R.O.C.)","曾O源","04-22994952","04-22994952","有","有"
"85000564","20191220","20210815","智儀有限公司","WIn WILL TECHNOLOGY.,LTD.","臺中市大里區塗城路702巷30號1樓","1 F., No. 30, Ln. 702, Tucheng Rd., Dali Dist., Taichung City 41275, Taiwan (R.O.C.)","趙O宏","04-24759914","","有","有"
"85000585","20191126","20230118","文華生技貿易有限公司","WIN WORLD BIOTECHNOLOGY TRADING CO., LTD.","臺北市中山區中山北路1段82號9樓","9 F., No. 82, Sec. 1, Zhongshan N. Rd., Zhongshan Dist., Taipei City 104001, Taiwan (R.O.C.)","鄭O華","02-77519033#301","02-27315968","有","有"
"85000620","20230427","20230427","新動能國際企業有限公司","New Momentum Intel. CORP.","新北市板橋區民族路68號(3樓)","3 F., No. 68, Minzu Rd., Banqiao Dist., New Taipei City 220073, Taiwan (R.O.C.)","張O承","0989308680","","有","有"
"85000712","20191202","20210815","友捷科技有限公司","YU JAY Science Limited","臺北市內湖區民權東路6段180巷77弄29號","No. 29, Aly. 77, Ln. 180, Sec. 6, Minquan E. Rd., Neihu Dist., Taipei City 11490, Taiwan (R.O.C.)","吳O芳","02-25210710","","有","有"
"85000733","20191108","20210813","全球興國際地產有限公司","Prosper Real Properties Co., Ltd.","臺北市中山區中山北路1段67號1樓","1 F., No. 67, Sec. 1, Zhongshan N. Rd., Zhongshan Dist., Taipei City 10446, Taiwan (R.O.C.)","王O瑛","02-25034099","","有","有"
"85000760","20191224","20210813","元滿科技顧問有限公司","Novotiv Tech Limited","臺北市大安區新生南路3段22巷7之1號","No. 7-1, Ln. 22, Sec. 3, Xinsheng S. Rd., Da’an Dist., Taipei City 10660, Taiwan (R.O.C.)","朱O祖","02-25210710#556","","有","有"
"85000781","20191114","20231226","時一有限公司","ONZE SELECTS INC.","臺北市士林區天母西路12號3樓之3","3F.-3, No. 12, Tianmu W. Rd., Shilin Dist., Taipei City 11157, Taiwan (R.O.C.)","蔡O霖","02-28324802","","有","有"
"85000826","20191107","20210812","嘉晟科技有限公司","LEISTUNG TECHNOLOGY CO., LTD.","臺北市大安區敦化南路2段5號7樓之2","7F.-2, No. 5, Sec. 2, Dunhua S. Rd., Da’an Dist., Taipei City 10681, Taiwan (R.O.C.)","林O貞","02-23252077#17","02-23252079","有","有"
"85000831","20211101","20240509","萬億國際企業有限公司","WAN-I INTERNATIONAL ENTERPRISE LTD.","臺北市中山區長春路20號7樓之6","7F.-6, NO. 20, CHANGCHUN RD., ZHONGSHAN DIST., TAIPEI CITY 10450, TAIWAN (R.O.C.)","","02-21001191","","無","無"
"85000889","20210316","20210815","沛懋企業有限公司","PEIMAO ENTERPRISE CO., LTD","臺北市文山區溪口街39號","No. 39, Xikou St., Wenshan Dist., Taipei City 11672, Taiwan (R.O.C.)","蔡O成","02-29333299","","有","有"
