"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"30010357","19781228","20210812","雅麗企業有限公司","YALICO BROS. CO., LTD.","臺北市士林區忠誠路2段5號12樓","12 F., No. 5, Sec. 2, Zhongcheng Rd., Shilin Dist., Taipei City 11148, Taiwan (R.O.C.)","林O清","02-28341155","","有","有"
"30010574","19750312","20230518","明達生物科技股份有限公司","INTEX INDUSTRIES LTD.","花蓮縣新城鄉康樂村精舍街88巷3號","No. 3, Ln. 88, Jingshe St., Kangle Vil., Xincheng Township,  Hualien County 971, Taiwan (R.O.C.)","李O蘭","02-25465692","02-25149287","有","有"
"30010928","19760513","20210813","申和貿易股份有限公司","SEN HO TRADING CO., LTD.","臺北市中山區民生東路3段23號1樓","1 F., No. 23, Sec. 3, Minsheng E. Rd., Zhongshan Dist., Taipei City 10478, Taiwan (R.O.C.)","邱O宏","02-25012735","02-25057304","有","有"
"30011193","19781221","20210814","翔輪貿易股份有限公司","HSIANG LUN INTERNATIONAL CORP.","臺北市大同區長安西路106號6樓","6 F., No. 106, Chang’an W. Rd., Datong Dist., Taipei City 10351, Taiwan (R.O.C.)","陳O正","02-25522828","02-25593939","有","有"
"30011308","19930507","20230111","雙合貿易有限公司","TWIN FAIR TRADING CO., LTD.","臺北市中山區長春路89之4號1樓","1 F., No. 89-4, Changchun Rd., Zhongshan Dist., Taipei City 104087, Taiwan (R.O.C.)","方O彬","02-25976362","","有","有"
"30011460","19780228","20231006","國偉貿易有限公司","K. W. TRADING CO., LTD.","臺北市中山區松江路293號3樓311室","Rm. 311, 3 F., No. 293, Songjiang Rd., Zhongshan Dist., Taipei City 10483, Taiwan (R.O.C.)","許O程","02-25033756","02-25038966","有","有"
"30011829","19780919","20230107","奇盛企業股份有限公司","SEASON ENTERPRISE CO., LTD.","臺北市大同區延平北路1段69巷32號","No. 32, Ln. 69, Sec. 1, Yanping N. Rd., Datong Dist., Taipei City 103007, Taiwan (R.O.C.)","蘇O豪","02-25555861","02-25558550","無","無"
"30012284","19810109","20250313","台北欄間有限公司","TAIPEI INVESTMENT CO., LTD.","臺北市大同區寧夏路14號1樓","1 F., No. 14, Ningxia Rd., Datong Dist., Taipei City 103019, Taiwan (R.O.C.)","黃O銘","02-25557537","02-25565638","無","無"
"30012427","19780629","20210814","德城行有限公司","MORALBURG ENTERPRISE CORPORATION","臺中市北屯區舊社里北屯路390號10樓之1","10F.-1, No. 390, Beitun Rd., Jiushe Vil., Beitun Dist., Taichung City 40654, Taiwan (R.O.C.)","鄧O銘","04-22431328","04-22431326","有","有"
"30015120","19741204","20210813","皇后股份有限公司","ELEGANCE QUEEN CO., LTD.","臺北市松山區北寧路18號6樓","6 F., No. 18, Beining Rd., Songshan Dist., Taipei City 10552, Taiwan (R.O.C.)","林O益","02-25775666","02-25791267","有","有"
"30016015","20160525","20210813","萬成鋼鐵有限公司","WAN CHENG STEEL CO., LTD.","臺北市大同區興城街66號4樓","4 F., No. 66, Xingcheng St., Datong Dist., Taipei City 10360, Taiwan (R.O.C.)","周O仁","02-22833123","02-22832344","有","有"
"30016198","19801128","20210812","龍億工業股份有限公司","LONG YIH INDUSTRY COMPANY","新北市三重區光復路2段90號1樓","1 F., No. 90, Sec. 2, Guangfu Rd., Sanchong Dist., New Taipei City 24158, Taiwan (R.O.C.)","陳O雄","02-2995-2247","02-29955416","有","有"
