"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"69004902","19741211","20221028","興南鑄造廠股份有限公司","SHIN NAN CASTING FACTORY CO., LTD.","臺南市北區小北里公園路435號","No. 435, Gongyuan Rd., Xiaobei Vil., North Dist., Tainan City 704022, Taiwan (R.O.C.)","鄧O名","06-2513646","06-2514898","有","有"
"69007605","20030919","20210812","錦盛行","JIN CHENNG CO.","臺南市東區復興里自由路3段155巷7號1樓","1 F., No. 7, Ln. 155, Sec. 3, Ziyou Rd., Fuxing Vil., East Dist., Tainan City 70162, Taiwan (R.O.C.)","吳O芳","06-268-5167","","有","有"
"69012207","20220928","20220928","興源工業原料行","Hsinyuan Chemical Industries CO.","臺南市中西區永福里民族路2段323號","No. 323, Sec. 2, Minzu Rd., Yongfu Vil., West Central Dist., Tainan City 700006, Taiwan (R.O.C.)","陳O堂","06-2222319","","有","有"
"69017907","20020917","20210811","應元西藥行","YINGYUAN HANG","臺南市中西區三民里民權路2段23號1樓","1 F., No. 23, Sec. 2, Minquan Rd., Sanmin Vil., West Central Dist., Tainan City 70043, Taiwan (R.O.C.)","蘇O成","06-2224800","","有","有"
"69017929","20180117","20230423","傑洛可娛樂國際有限公司","JLK Entertainment International Co., Ltd.","新北市林口區南勢七街28之3號","No. 28-3, Nanshi 7th St., Linkou Dist., New Taipei City 244018, Taiwan (R.O.C.)","吳O嶽","02-27154668","02-27154684","無","無"
"69018363","20180118","20210815","國廷興業有限公司","KUO TIN INDUSTRIAL CO., LTD.","新北市中和區景平路493巷2弄2號（2樓）","2 F., No. 2, Aly. 2, Ln. 493, Jingping Rd., Zhonghe Dist., New Taipei City 23564, Taiwan (R.O.C.)","張O華","0222478858","0229404519","有","有"
"69018379","20180201","20210814","久鑫國際有限公司","JOY THINKING INTERNATIONAL CO., LTD.","新北市三重區自由街35巷10弄5號7樓","7 F., No. 5, Aly. 10, Ln. 35, Ziyou St., Sanchong Dist., New Taipei City 24157, Taiwan (R.O.C.)","林O靜","02-29852429","","有","有"
"69018482","20180117","20250320","冠庭貿易有限公司","Bulk Buddy Trading Company Taiwan","新北市汐止區新台五路1段116號20樓","20 F., No. 116, Sec. 1, Xintai 5th Rd., Xizhi Dist., New Taipei City 22102, Taiwan (R.O.C.)","","02-26968805","02-22400254","無","無"
"69018716","20190313","20230523","安樺貿易有限公司","An Hwa Trading Company","新北市樹林區千歲街61巷40弄1號","No. 1, Aly. 40, Ln. 61, Qiansui St., Shulin Dist., New Taipei City 238002, Taiwan (R.O.C.)","唐O宗","02-26827820","","有","有"
"69019428","20181116","20241030","暉煌有限公司","Brilliant J&D co., Ltd.","新北市板橋區文化路2段182巷1弄75號","No. 75, Aly. 1, Ln. 182, Sec. 2, Wenhua Rd., Banqiao Dist., New Taipei City 220029, Taiwan (R.O.C.)","黃O祈","02-22254646","","有","有"
