"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"46000088","20120323","20210815","人壽製藥廠股份有限公司","LEN-SHOW CHEMICAL & PHARM. CO., LTD.","新竹市東南街52巷10號","No. 10, Ln. 52, Dongnan St., East Dist., Hsinchu City 30062, Taiwan (R.O.C.)","趙O桂","03-5222148","03-5234728","有","有"
"46000144","20110325","20210815","澄翰貿易有限公司","S&R CREATIVE INC.","新北市板橋區江寧路3段87巷2弄6號4樓","4 F., No. 6, Aly. 2, Ln. 87, Sec. 3, Jiangning Rd., Banqiao Dist., New Taipei City 22046, Taiwan (R.O.C.)","邱O皓","02-29581055","","有","有"
"46003655","20021023","20210812","大平商店","DANPAN STORE","新竹縣新埔鎮五埔里新關路五埔段91號","No. 91, Sec. Wupu, Xinguan Rd., Wupu Vil., Xinpu Township, Hsinchu County 30544, Taiwan (R.O.C.)","鄧O明","03-5554155","03-5966865","有","有"
"46004660","20161020","20210814","悠玩娛樂股份有限公司","YOWAN ENTERTAINMENT CO., LTD.","新北市板橋區中山路2段367之1號2樓","2 F., No. 367-1, Sec. 2, Zhongshan Rd., Banqiao Dist., New Taipei City 22068, Taiwan (R.O.C.)","蔡O池","02-82588095","02-82588097","有","有"
"46004845","20250508","20250508","光禾視聽有限公司","GUANGHE AUDIO/VIDIO CO., LTD.","新北市板橋區大智街25巷33之2號","No. 33-2, Ln. 25, Dazhi St., Banqiao Dist., New Taipei City 220047, Taiwan (R.O.C.)","林O生","0976060886","","有","有"
"46005794","19780912","20210812","丸竹化工實業有限公司","THE WANTE CHEMICAL INDUSTRIES CO., LTD.","新竹市竹蓮街197號","No. 197, Zhulian St., East Dist., Hsinchu City 30061, Taiwan (R.O.C.)","劉O昌","03-522-4041","03-523-5747","有","有"
"46006273","20160826","20210813","華煉有限公司","HUA PRAC CO., LTD.","新北市林口區文化二路1段236號4樓","4 F., No. 236, Sec. 1, Wenhua 2nd Rd., Linkou Dist., New Taipei City 24448, Taiwan (R.O.C.)","陳O花","02-26095175","","有","有"
"46006506","20200415","20210814","巴黎人文創意有限公司","NIGHT IN PARIS CO., LTD.","新北市淡水區大忠街77號（1樓）","1 F., No. 77, Dazhong St., Tamsui Dist., New Taipei City 25156, Taiwan (R.O.C.)","楊O献","02-26269496","","有","有"
"46006695","20190617","20210815","瑞卡希有限公司","Academy Legacy Games Ltd.","臺北市中山區長春路368號5樓","5 F., No. 368, Changchun Rd., Zhongshan Dist., Taipei City 10487, Taiwan (R.O.C.)","白O宇","0988387566","","有","有"
"46007218","19781020","20210814","大享容器工業股份有限公司","TA HSIANG CONTAINERS IND. CO., LTD.","新竹縣新埔鎮文山里文山路犁頭山段1118號","No. 1118, Sec. Litoushan, Wenshan Rd., Wenshan Vil., Xinpu Township, Hsinchu County 30543, Taiwan (R.O.C.)","曾O煌","035-885122","035-888462","有","有"
"46007224","20000224","20221206","大海電器企業社","DAH HAE ELECTRIC CO.","新竹市東區關東里光復路一段二六八巷卅弄三六號一樓","1F., No. 36, Aly. , Ln. 268, Sec. 1,  Guangfu Rd., Guandong Vil., East Dist.,  Hsinchu City , Taiwan (R.O.C.)","黃O","03-5777177","","有","有"
