"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"59000054","19780927","20221222","明和洋傘工業股份有限公司","MING HO UMBRELLA INDUSTRIAL CO., LTD.","彰化縣和美鎮鎮平里彰草路二段120-1號","No. 120-1, Sec. 2, Zhangcao Rd., Zhenping Vil., Hemei Township, Changhua County 508001, Taiwan (R.O.C.)","陳O雄","047-236117","","有","有"
"59000174","20171219","20210815","立達國際建材有限公司","Li Da International Building Materials Co., Ltd.","宜蘭縣宜蘭市延平里東港路一段186巷5弄66號一樓","1 F., No. 66, Aly. 5, Ln. 186, Donggang Rd., Yanping Vil., Yilan City, Yilan County 26057, Taiwan (R.O.C.)","張O群","03-9387808","03-9380399","有","有"
"59000343","19830404","20230708","新三光藝品股份有限公司","HSIN SANKWAN INDUSTRIAL CO., LTD.","彰化縣鹿港鎮中興里中山路二二○號二樓","2F., No. 220, Zhongshan Rd., Zhongxing Vil., Lukang Township,  Changhua County 505024, Taiwan (R.O.C.)","黃O瑜","047-772474","","無","無"
"59000619","20180412","20210813","楹杉股份有限公司","Chiu Zhen Co., Ltd","苗栗縣銅鑼鄉樟樹村4鄰樟樹50號","No. 50, Zhangshu, 4th Neighborhood, Tongluo Township, Miaoli County 36646, Taiwan (R.O.C.)","賀O珍","03-7238893","","有","有"
"59000771","20171207","20210814","元盛水產有限公司","YUAN SHENG AQUATIC PRODUCTS CO., LTD.","嘉義縣民雄鄉福樂村光明街215號1樓","1 F., No. 215, Guangming St., Minxiong Township, Chiayi County 62158, Taiwan (R.O.C.)","曾O偉","05-2326200","05-2326821","有","有"
"59001011","20020327","20211013","六榮企業股份有限公司","LIU-LUNG CO., LTD.","彰化縣伸港鄉汴頭村汴頭路166-2號","No. 166-2, Biantou Rd., Shengang Township, Changhua County 50952, Taiwan (R.O.C.)","姚O源","04-7982252","04-7981117","有","有"
"59001477","19780711","20230309","洪勝發企業股份有限公司","HONG HSUNG FA TEXTILE CO., LTD.","彰化縣和美鎮詔安里中興路一段一三三號","No. 133, Sec. 1, Zhongxing Rd., Zhao’an Vil., Hemei Township, Changhua County 508012, Taiwan (R.O.C.)","洪O信","04-7356866","04-7364430","無","無"
"59001602","19770404","20210813","光華工業有限公司","KWANG HWA INDUSTRIAL CO., LTD.","彰化縣鹿港鎮東崎里鹿東路二段361巷176號","No. 176, Ln. 361, Sec. 2, Ludong Rd., Dongqi Vil., Lukang Township, Changhua County 50550, Taiwan (R.O.C.)","林O信","04-7772514","04-77828811","有","有"
"59001639","20190108","20230318","路明德科技股份有限公司","Luminit Automotive Technology Corporation","新竹縣湖口鄉中興村光復北路42號","No. 42, Guangfu N. Rd., Zhongxing Vil., Hukou Township,  Hsinchu County 303036, Taiwan (R.O.C.)","BOhOEnginOrik","03-5981682","03-5981692","有","有"
"59001764","20180111","20210815","威騰科技有限公司","WaySEM Technology Corporation","新竹市東區三民里民主路83號5樓之3","5F.-3, No. 83, Minzhu Rd., Sanmin Vil., East Dist., Hsinchu City 30050, Taiwan (R.O.C.)","潘O良","035-635581","035-162998","有","有"
