"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"87000506","20230914","20230914","輝夜商行","KAGUYA COMPANY","臺南市永康區成功里中華路144之1號地下一層","No. 144-1, Zhonghua Rd., Chenggong Vil., Yongkang Dist., Tainan City 710029, Taiwan (R.O.C.)","許O翔","0965-176864","","有","有"
"87001435","20191217","20240508","京兆貿易商行","Nampulle Trade CO.","南投縣草屯鎮南埔里中正路304之12號一樓","1 F., No. 304-12, Zhongzheng Rd., Nanpu Vil., Caotun Township, Nantou County 542022, Taiwan (R.O.C.)","廖O鋒","049-2565793","","有","有"
"87001456","20230515","20230515","日億誠食品行","EWhouse FACTORY","南投縣南投市嘉和里忠孝路23號一樓","1 F., No. 23, Zhongxiao Rd., Jiahe Vil., Nantou City, Nantou County 540009, Taiwan (R.O.C.)","藍O融","0966-502209","","有","有"
"87002321","20221017","20221017","天禹名茶","tian yu ming cha Shop","南投縣竹山鎮延平里東鄉路7-8號1樓","1 F., No. 7-8, Dongxiang Rd., Yanping Vil., Zhushan Township, Nantou County 557009, Taiwan (R.O.C.)","謝O芳","0958388553","","有","有"
"87003476","20201013","20210811","世豐製茶廠","Shih-Feng Tea Factory","南投縣埔里鎮杷城里民富一街18號1樓","1 F., No. 18, Minfu 1st St., Pacheng Vil., Puli Township, Nantou County 54549, Taiwan (R.O.C.)","蔡O志","0492970611","0492970135","有","有"
"87003481","20230502","20230502","向森國際企業社","XSEN INTERNATIONAL CO.","南投縣埔里鎮東門里四維路78號1樓","1 F., No. 78, Siwei Rd., Dongmen Vil., Puli Township, Nantou County 545013, Taiwan (R.O.C.)","彭O翔","0912-857410","","有","有"
"87003638","20200327","20210811","白爵店","BJbaby store","南投縣竹山鎮延平里東興巷18之5號","No. 18-5, Dongxing Ln., Yanping Vil., Zhushan Township, Nantou County 55775, Taiwan (R.O.C.)","葉O嫺","049-2631163","","有","有"
"87003715","20210602","20250503","廣源茶坊","Guangyuan Bubble Tea Shop","南投縣竹山鎮竹山里集山路3段924號1樓","1 F., No. 924, Sec. 3, Jishan Rd., Zhushan Vil., Zhushan Township, Nantou County 55746, Taiwan (R.O.C.)","劉O瑄","049-2658009","","有","有"
"87003763","20200825","20231207","帆翔茶行","FAN XIANG TEA CO.","南投縣草屯鎮中正里中正路703號1樓","1 F., No. 703, Zhongzheng Rd., Zhongzheng Vil., Caotun Township, Nantou County 54254, Taiwan (R.O.C.)","葉O芬","0972-542281","","有","有"
"87004714","20210806","20210812","馥宇工程行","Fu Yu Engineering HANG","南投縣埔里鎮清新里民生路40號1樓","1 F., No. 40, Minsheng Rd., Qingxin Vil., Puli Township, Nantou County 54556, Taiwan (R.O.C.)","林O宇","049-2424481","","無","無"
"87004968","20200616","20210811","凱丞商行","KCSH TRADING CO.","南投縣草屯鎮富寮里中正路501之5巷30弄3號1樓","1 F., No. 3, Aly. 30, Ln. 501---5, Zhongzheng Rd., Fuliao Vil., Caotun Township, Nantou County 54244, Taiwan (R.O.C.)","黃O凱","049-2315221","","有","有"
"87005220","20210909","20210909","艾瑞妮美國小商店","Rainny's Boutique","南投縣水里鄉鉅工村民生路200號","NO. 200, MINSHENG RD., SHUILI TOWNSHIP, NANTOU COUNTY 553, TAIWAN (R.O.C.)","陳O賢","0931-532626","","有","有"
"87005880","20200916","20231207","頂盛茶行","DING SHENG TEA CO.","南投縣南投市平和里育樂路１１５號一樓","1 F., No. 115, Yule Rd., Pinghe Vil., Nantou City, Nantou County 540010, Taiwan (R.O.C.)","黃O如","0972-542281","","有","有"
"87006092","20250208","20250210","心騰瑞生技農場","Deep Taste Ecological Farm Co.","南投縣埔里鎮南村里桃南路51號一樓","1 F., No. 51, Taonan Rd., Nancun Vil., Puli Township, Nantou County 545023, Taiwan (R.O.C.)","吳O騰","049-2988878","","有","有"
