"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"61003492","20181106","20210813","君祥企業有限公司","JUN XIANG GAN CO.","臺中市北屯區仁和里崇德八路一段111號5樓之6","5F.-6, No. 111, Sec. 1, Chongde 8th Rd., Renhe Vil., Beitun Dist., Taichung City 40672, Taiwan (R.O.C.)","廖O君","04-22474968","","有","有"
"61004611","20180209","20210813","成紘精密有限公司","CHENG HONG PRECISION CO., LTD","臺中市豐原區南陽里南陽路215巷81號1樓","1 F., No. 81, Ln. 215, Nanyang Rd., Nanyang Vil., Fengyuan Dist., Taichung City 42083, Taiwan (R.O.C.)","張O揚","0937229939","","有","有"
"61005702","20170728","20210814","若淯有限公司","RUO YU ELECTRIC CO., LTD.","臺中市東區東勢里進德北路14號1樓","1 F., No. 14, Jinde N. Rd., Dongshi Vil., East Dist., Taichung City 40143, Taiwan (R.O.C.)","藍O銨","04-23603255","","有","有"
"61005908","19780524","20210811","小白菜化粧品工廠","SHIAOPAITSAI COSMETICS FACTORY","南投縣草屯鎮中山里太平路二段33號","No. 33, Sec. 2, Taiping Rd., Zhongshan Vil., Caotun Township, Nantou County 54263, Taiwan (R.O.C.)","吳O維","049-2338158","","有","有"
"61012703","20170505","20210813","向優股份有限公司","AFICIAL CO., LTD.","臺中市烏日區北里里太明路2巷1弄30號","No. 30, Aly. 1, Ln. 2, Taiming Rd., Beili Vil., Wuri Dist., Taichung City 41468, Taiwan (R.O.C.)","廖O臨","04-23358828","04-23350729","有","有"
"61027972","20220321","20230614","臻志科技有限公司","Craftsman Fix Co., Ltd.","臺中市北區三民路三段58號1樓","1 F., No. 58, Sec. 3, Sanmin Rd., North Dist., Taichung City 404010, Taiwan (R.O.C.)","","04-22298862","","無","無"
"61031574","20170505","20210814","綠園景有限公司","GREENVISION LIFESTYLE CO., LTD.","臺中市豐原區三村里互助街10號1樓","1 F., No. 10, Huzhu St., Sancun Vil., Fengyuan Dist., Taichung City 42057, Taiwan (R.O.C.)","郭O雄","04-25356608","","有","有"
"61031808","20231122","20231122","水里鄉農會","Shuili Township Farmers' Association","南投縣水里鄉民生路362號","No. 362, Minsheng Rd., Shuili Township, Nantou County 553001, Taiwan (R.O.C.)","劉O雲","0492772101-318","","有","有"
"61035001","20170517","20221231","恆盛餐飲有限公司","BHR ORGANIC MASTER INC.","臺中市西區民龍里英才路530號22樓之3","22 F.-3, No. 530, Yingcai Rd., Minlong Vil., West Dist., Taichung City 403518, Taiwan (R.O.C.)","吳O恩","04-23050656","04-23052001","無","無"
"61038605","20171225","20230803","哲毅科技有限公司","JEHYI TECH CO., LTD.","臺中市南區南和里工學三街25號6樓之2","6 F.-2, No. 25, Gongxue 3rd St., Nanhe Vil., South Dist., Taichung City 402022, Taiwan (R.O.C.)","連O毅","04-24069643","04-2406945","無","無"
"61048527","20170622","20210812","中都創新股份有限公司","CENTER INNOVATION, INC.","臺中市西屯區工業區二路2號","No. 2, Gongyequ 2nd Rd., Xitun Dist., Taichung City 40767, Taiwan (R.O.C.)","卓O霖","04-23503113","04-23503026","有","有"
"61055104","20170508","20231214","易隆工業有限公司","E-LONG RUBBER & PLASTIC INDUSTRY CORP.","臺中市西屯區逢甲里西屯路二段256巷6號12樓之6","12F.-6, No. 6, Ln. 256, Sec. 2, Xitun Rd., Fengjia Vil., Xitun Dist., Taichung City 40749, Taiwan (R.O.C.)","潘O榮","0932-505460","","有","有"
"61058405","20210601","20220811","新力機電科技有限公司","XINLI ELECTROMECHANICAL TECHNOLOGY CO., LTD.","臺中市大雅區三和里港尾路1之9號1樓","1 F., No. 1-9, Gangwei Rd., Sanhe Vil., Daya Dist., Taichung City 428006, Taiwan (R.O.C.)","張O瑲","04-25333929","04-25333663","有","有"
"61059164","20180914","20240203","賓帝汽車有限公司","BIDDING CARS 858 CO., LTD.","臺中市烏日區三和里高鐵二路8號","No. 8, Gaotie 2nd Rd., Sanhe Vil., Wuri Dist., Taichung City 41456, Taiwan (R.O.C.)","謝O玲","04-23380123","04-35032328","有","有"
"61062533","19760929","20230422","立台工業股份有限公司","LEADING INC.","新北市林口區文化二路1段266號19樓之1","19 F.-1, No. 266, Sec. 1, Wenhua 2nd Rd., Linkou Dist., New Taipei City 244057, Taiwan (R.O.C.)","黃O明","02-26007203","02-26007680","有","有"
"61067657","20021004","20250516","永昇商號","YEONN SHENG STORE","南投縣水里鄉中央村民族路522號","No. 522, Minzu Rd., Shuili Township, Nantou County 55341, Taiwan (R.O.C.)","林O誼","","","有","有"
"61079106","20200615","20210811","玉記塑膠工廠","Jade reme plastic CO.","南投縣草屯鎮復興里復興路二五二號","No. 252, Fuxing Rd., Fuxing Vil., Caotun Township, Nantou County 54259, Taiwan (R.O.C.)","洪O基","049-2333625","","有","有"
"61079204","20170420","20210815","三允科技實業有限公司","SANKING INDUSTRIAL CO., LTD.","臺中市大里區西湖路178巷102號","No. 102, Ln. 178, Xihu Rd., Dali Dist., Taichung City 41263, Taiwan (R.O.C.)","王O滿","04-24934506","04-24934486","有","有"
"61079507","20180906","20211201","英霈斯生物科技有限公司","ENPRESS BIOTECHNOLOGY CO., LTD.","臺中市北屯區水湳里文心路三段1027號5樓","5F., NO. 1027, SEC. 3, WENXIN RD., SHUINAN VIL., BEITUN DIST., TAICHUNG CITY 40667, TAIWAN (R.O.C.)","郭O鑫","04-22914676","04-22956635","有","有"
"61084804","20180109","20221022","邦誠國際有限公司","Trust Union International Co., Ltd.","臺中市東勢區延平里三民街67號4樓","4 F., No. 67, Sanmin St., Yanping Vil., Dongshi Dist., Taichung City 423003, Taiwan (R.O.C.)","羅O甘","04-25878168","04-25882239","有","有"
"61095204","20231227","20231227","昶億國際有限公司","Chang I Lin International CO., LTD.","臺中市北區民權路469號1樓","1 F., No. 469, Minquan Rd., North Dist., Taichung City 404025, Taiwan (R.O.C.)","林O億","04-22991439","","有","有"
"61096040","20170420","20210813","伊喆有限公司","YI ZHE LTD.","臺中市大雅區永和路141之2號2樓","2 F., No. 141-2, Yonghe Rd., Daya Dist., Taichung City 42877, Taiwan (R.O.C.)","林O樺","0953-633007","","有","有"
"61102140","20170620","20230905","曜龍有限公司","UON INCORPORATED","臺北市松山區南京東路4段164號4樓之3","4 F.-3, No. 164, Sec. 4, Nanjing E. Rd., Songshan Dist., Taipei City 105407, Taiwan (R.O.C.)","王O玲","02-25776750","02-25786484","有","有"
"61114716","20180320","20210814","展榮國際有限公司","Zhan Rong international trading company limited.","臺中市南屯區楓樹里永春東三路29號11樓之8","11F.-8, No. 29, Yongchun E. 3rd Rd., Fengshu Vil., Nantun Dist., Taichung City 40846, Taiwan (R.O.C.)","張O耀","0955530929","","無","無"
"61115601","20170509","20240702","永恆天詩企業有限公司","YONG HENG TIAN SHI CO., LTD.","臺中市西區公益路119號7樓之19","7 F.-19, No. 119, Gongyi Rd., West Dist., Taichung City 403018, Taiwan (R.O.C.)","林O竣","04-25122125","04-25122126","有","有"
"61121202","20170517","20210814","有冠企業有限公司","UGUAN ENTERPRISE CO., LTD.","臺中市太平區新興里太文路71巷49號2樓","2 F., No. 49, Ln. 71, Taiwen Rd., Xinxing Vil., Taiping Dist., Taichung City 41180, Taiwan (R.O.C.)","詹O仁","04-23954728","04-22777331","有","有"
"61125066","20221124","20221124","雙成興業有限公司","WIN-WIN INDUSTRIAL LTD.","臺中市南屯區文心路一段186號13樓之10","13 F.-10, No. 186, Sec. 1, Wenxin Rd., Nantun Dist., Taichung City 408350, Taiwan (R.O.C.)","鄭O峰","04-24370960","","有","有"
"61125410","20171011","20210814","成樺企業有限公司","CHENG HUA SHOES CO., LTD.","臺中市神岡區岸裡里大圳路13之3號","No. 13-3, Dazun Rd., Anli Vil., Shengang Dist., Taichung City 42947, Taiwan (R.O.C.)","張O阿蕊","04-25266400","04-25252092","有","有"
"61127819","20170421","20231222","霏艾斯事業有限公司","FLYEYES BUSINESS LIMITED","臺中市南區永興里工學一街167巷6號","No. 6, Ln. 167, Gongxue 1st St., Yongxing Vil., South Dist., Taichung City 402266, Taiwan (R.O.C.)","","","","無","無"
"61129302","20170504","20220408","奕晶國際行銷股份有限公司","YI JING INTERNATIONAL MARKETING CO., LTD.","臺中市太平區廣三街63號2樓","2 F., No. 63, Guang 3rd St., Taiping Dist., Taichung City 41162, Taiwan (R.O.C.)","鄢O偉","04-23251797","04-25673123","有","有"
"61139815","20170619","20210814","剩億有限公司","SE BOWLING CO., LTD.","臺中市大肚區遊園路一段10巷22號1樓","1 F., No. 22, Ln. 10, Sec. 1, Youyuan Rd., Dadu Dist., Taichung City 43249, Taiwan (R.O.C.)","張O鵬","04-26318827","","有","有"
"61140101","20170426","20210814","益榛有限公司","YI JHEN MEDICAL EQUIPMENT LTD.","臺中市太平區永平路三段178巷16號1樓","1 F., No. 16, Ln. 178, Sec. 3, Yongping Rd., Taiping Dist., Taichung City 41144, Taiwan (R.O.C.)","廖O娜","04-22799251","04-22773242","有","有"
"61140658","20200701","20210814","倫震國際企業有限公司","Lun Chen Internation Enterprise Co.,Ltd.","臺中市南屯區永定里永春東路1381號1樓","1 F., No. 1381, Yongchun E. Rd., Yongding Vil., Nantun Dist., Taichung City 40842, Taiwan (R.O.C.)","蔡O珍","04-22017708","04-22011201","有","無"
"61140691","20201023","20210815","饗食科技有限公司","Eat Technology Co., Ltd.","臺南市中西區民族路三段263號4樓","4 F., No. 263, Sec. 3, Minzu Rd., West Central Dist., Tainan City 70060, Taiwan (R.O.C.)","黃O淯","06-2226741","","有","有"
"61141501","20170426","20231003","鼎悅貿易有限公司","SPLENDID TRAVEL TRADING CO., LTD.","臺中市北屯區東山路一段50之15號1樓","1 F., No. 50-15, Sec. 1, Dongshan Rd., Beitun Dist., Taichung City 406012, Taiwan (R.O.C.)","彭O慧","0910-505856","","有","有"
"61144654","20170629","20221126","網鴻有限公司","COOLCOM LTD.","臺中市西區民龍里臺灣大道二段181號5樓之6","5 F.-6, No. 181, Sec. 2, Taiwan Blvd., Minlong Vil., West Dist., Taichung City 403005, Taiwan (R.O.C.)","蔡O美","0976381348","","無","無"
"61149503","20240205","20241022","立烽科技有限公司","Lifung Technology CO., LTD.","臺中市西屯區協和里安和路86之2號","No. 86-2, Anhe Rd., Xiehe Vil., Xitun Dist., Taichung City 407022, Taiwan (R.O.C.)","張O桂","04-23509959","04-23509952","有","有"
"61150108","20231102","20231102","勝祐科技股份有限公司","ShengYo Technology CO., LTD.","臺中市烏日區北里里太明路6之3號","No. 6-3, Taiming Rd., Beili Vil., Wuri Dist., Taichung City 414021, Taiwan (R.O.C.)","陳O漢","04-23350238","","有","有"
"61153885","20180911","20221206","鼎越貿易有限公司","DINGYUE INC.","臺中市大雅區大楓里民豐街59號1樓","1 F., No. 59, Minfeng St., Dafeng Vil., Daya Dist., Taichung City 42845, Taiwan (R.O.C.)","張O輝","0935-922551","","有","有"
"61153935","20220928","20220928","宜珍齋","Yi Zhen Zhai Co.","南投縣草屯鎮中正路697號","No. 697, Zhongzheng Rd., Caotun Township, Nantou County 542020, Taiwan (R.O.C.)","洪O翔","0492334437","0492381766","有","有"
"61161597","20201012","20221231","升譽錩股份有限公司","Sheng Yu Chang CO., LTD.","臺中市沙鹿區斗抵里太平路8號1樓","1 F., No. 8, Taiping Rd., Doudi Vil., Shalu Dist., Taichung City 433005, Taiwan (R.O.C.)","張O銘","0423590198","","有","有"
"61161610","20170505","20230321","百匠屋瓦有限公司","BAE CHIANG ROOF TILE LTD.","臺中市沙鹿區南斗路77巷53號1樓","1 F., No. 53, Ln. 77, Nandou Rd., Shalu Dist., Taichung City 433110, Taiwan (R.O.C.)","郭O宏","04-25607361","","有","有"
"61173587","20170425","20221223","伊麗絲生物科技股份有限公司","ELIS BIOTECHNOLOGICAL CO., LTD.","臺中市清水區秀水里民有路278巷27號1樓","1 F., No. 27, Ln. 278, Minyou Rd., Xiushui Vil., Qingshui Dist., Taichung City 436043, Taiwan (R.O.C.)","楊O民","0912908014","0422242298","無","無"
"61181209","20171027","20210815","彩和酒業股份有限公司","CAI HUO WINE INDUSTRY CO., LTD.","臺中市大肚區王田里沙田路一段320巷33之11號","No. 33-11, Ln. 320, Sec. 1, Shatian Rd., Wangtian Vil., Dadu Dist., Taichung City 43247, Taiwan (R.O.C.)","游O田","0935-985905","","有","有"
"61189960","20190118","20210814","富玖玳貿易有限公司","FORTUNED TRADING CO., LTD.","臺中市豐原區北陽里中陽東街175號1樓","1 F., No. 175, Zhongyang E. St., Beiyang Vil., Fengyuan Dist., Taichung City 42076, Taiwan (R.O.C.)","陳O花","04-25272389","04-25271289","有","有"
"61202400","20190715","20240113","荃盛生物科技股份有限公司","TSUEN SHENG BIOTECHNOLOGY CO., LTD.","臺中市西區五權路1之67號5樓","5 F., No. 1-67, Wuquan Rd., West Dist., Taichung City 40348, Taiwan (R.O.C.)","丁O昌","0423210580","0423210718","無","無"
"61203479","20190718","20230502","老地方國際行銷有限公司","PETFUN PET MARKETING CO.","臺中市西屯區成都路317、319號","No. 319, Chengdu Rd., Xitun Dist., Taichung City 407041, Taiwan (R.O.C.)","王O驊","04-22956136","","有","有"
"61203626","20170502","20240923","大脊國際醫材有限公司","DAL-CHI INTERNATIONAL MEDICAL COMPANY","臺中市大里區健民里健東路106號","No. 106, Jiandong Rd., Jianmin Vil., Dali Dist., Taichung City 412039, Taiwan (R.O.C.)","陳O如","0989-793669","","有","有"
"61203787","20021004","20210812","茂海號","MOUHAI STORE","南投縣南投市南投里南投市場內","Nantou Vil., Nantou City, Nantou County 540, Taiwan (R.O.C.)","黃O河","","","有","有"
"61205048","20200518","20230622","夏熙整合行銷有限公司","SHAXI Integrated Marketing Co., Ltd.","臺中市豐原區豐原里三民路12號12樓之1","12 F.-1, No. 12, Sanmin Rd., Fengyuan Vil., Fengyuan Dist., Taichung City 420020, Taiwan (R.O.C.)","吳O平","04-24390152","","有","有"
"61205075","20221215","20221215","凱湟傳家寶石鑑定有限公司","KAIHUANG HEIRLOOM GEM APPRAISAL CO., LTD.","臺中市東區東勢里精武路123之4號2樓","2 F., No. 123-4, Jingwu Rd., Dongshi Vil., East Dist., Taichung City 401007, Taiwan (R.O.C.)","張O琴","04-22370850","04-22370860","有","有"
"61206291","20170620","20250306","尹花花有限公司","FLOWERS-AN INTERNATIONAL CO., LTD.","臺北市中山區長安東路2段162號7樓","9 F., No. 79-19, Ln. 430, Sec. 2, Yanping Rd., Pingzhen Dist., Taoyuan City 32453, Taiwan (R.O.C.)","劉O妍","0976160319","","有","有"
"61213005","20170516","20210812","翰禾科技有限公司","HAN HO LIMITED COMPANY","新竹市東區千甲里千甲路428-2號","No. 428-2, Qianjia Rd., Qianjia Vil., East Dist., Hsinchu City 30059, Taiwan (R.O.C.)","陳O瑋","0953680976","","有","有"
"61213407","20170503","20221102","泓博貿易有限公司","HANSAW INTERNATIONAL TRADING LTD.","臺中市大里區國光里大里一街75巷16號1樓","1 F., No. 16, Ln. 75, Dali 1st St., Guoguang Vil., Dali Dist., Taichung City 412015, Taiwan (R.O.C.)","賴O泳","0928-316242","","有","有"
"61213906","20210708","20210813","數位方塊有限公司","DigiPack Co., Ltd.","臺中市南區和平里復興路二段74之8號1樓","1 F., No. 74-8, Sec. 2, Fuxing Rd., Heping Vil., South Dist., Taichung City 40245, Taiwan (R.O.C.)","詹O珉","04-2261-3791","04-2261-2681","有","有"
"61214855","20170508","20221223","灶易有限公司","JOY-EZ CO., LTD.","臺中市北屯區新平里中平路760號1樓","1 F., No. 760, Zhongping Rd., Xinping Vil., Beitun Dist., Taichung City 406028, Taiwan (R.O.C.)","黃O岳","04-22991447","","無","無"
"61215806","19790111","20190715","南投縣農會","NANTOU HSIEN FARMERS' ASSOCIATION","南投縣南投巿南崗三路１號","NO. 1, NANGANG 3RD RD., NANTOU CITY, NANTOU COUNTY 54067, TAIWAN (R.O.C.)","曾O瑞","049-2222021","049-2222821","有","有"
"61229978","20170505","20210814","台灣百獅股份有限公司","Taiwan Smart Ltd.","臺中市北區健行里中清路一段369號11樓之2","11F.-2, No. 369, Sec. 1, Zhongqing Rd., Jianxing Vil., North Dist., Taichung City 40460, Taiwan (R.O.C.)","于O成","0988593802","04-23803409","有","有"
"61234819","20170425","20211228","萬豐國際事業有限公司","TREAD WAY DEVELOPMENT LTD.","臺中市西屯區福安里福科路150號","No. 150, Fuke Rd., Fu’an Vil., Xitun Dist., Taichung City 40765, Taiwan (R.O.C.)","吳O和","04-26353110","","有","有"
"61239384","20170504","20210814","睿得貿易有限公司","RUI DE TRADE CO., LTD.","臺中市南區新榮里新華街170號1樓","1 F., No. 170, Xinhua St., Xinrong Vil., South Dist., Taichung City 40252, Taiwan (R.O.C.)","湯O任","04-23262068","","有","有"
"61245800","20230921","20230921","純萃整合設計有限公司","PURES DESIGN INTEGRATION CO., LTD.","臺中市西屯區惠來里文中路35號二樓","2 F., No. 35, Wenzhong Rd., Huilai Vil., Xitun Dist., Taichung City 407054, Taiwan (R.O.C.)","張O壽","04-23151488","","有","有"
