"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"02003502","19781229","20240409","台灣荒川化學工業股份有限公司","TAIWAN ARAKAWA CHEMICAL INDUSTRIES, LTD.","基隆市七堵區六堵工業區工建南路4號","No. 4, Gongjian S. Rd., Qidu Dist., Keelung City 206007, Taiwan (R.O.C.)","王O","02-24515236","02-24515082","有","有"
"02010932","19780628","20230622","永祥塑膠工業股份有限公司","YUNG SHIANG PLASTIC INDUSTRY CO., LTD.","臺北市大安區仁愛路3段17號10樓","10 F., No. 17, Sec. 3, Ren’ai Rd., Da’an Dist., Taipei City 106088, Taiwan (R.O.C.)","何O儒","02-27529150","02-27526068","無","無"
"02027504","19850206","20210815","信友實業股份有限公司","SINCERE INDUSTRIAL CORPORATION","臺北市大安區敦化南路2段99號15樓","15 F., No. 99, Sec. 2, Dunhua S. Rd., Da’an Dist., Taipei City 10682, Taiwan (R.O.C.)","陳O德","02-27001400","02-27542234","有","有"
"02070728","19990708","20210812","清高企業有限公司","CHING KAO INDUSTRIAL CORP.","新北市蘆洲區和平路一０一號","No. 101, Heping Rd., Luzhou Dist., New Taipei City 24750, Taiwan (R.O.C.)","郭O浩","02-22822214","2282-8135","有","有"
"02073149","20021001","20230111","吉隆肉店","CHI JUNG SIR SHOP","新北市泰山區全興路２１２號泰山公有市場肉類第１０４號","No. 212, Quanxing Rd., Taishan Dist., New Taipei City 243078, Taiwan (R.O.C.)","江O和","25713210","24632669","無","無"
"02073393","19870311","20210815","金豊度量衡工業有限公司","GOLDEN HARVEST PRECISION SCALE INDUSTRIAL CO., LTD.","新北市三重區光復路1段85號7樓","7 F., No. 85, Sec. 1, Guangfu Rd., Sanchong Dist., New Taipei City 24158, Taiwan (R.O.C.)","王O輝","02-29990400-2","02-29990403","有","有"
"02073540","20031106","20210812","友川五金行","YEOU CHUAN HARDWARE CO.","新北市三重區三和路１段６７號１樓","1 F., No. 67, Sec. 1, Sanhe Rd., Sanchong Dist., New Taipei City 24148, Taiwan (R.O.C.)","盧O慶","02-2977-2132","02-2973-7924","無","無"
"02074273","20021001","20210812","建利獸肉號","CHIEN LI SIR SHOP","新北市三重區重陽路4段40號1樓","1 F., No. 40, Sec. 4, Chongyang Rd., Sanchong Dist., New Taipei City 24145, Taiwan (R.O.C.)","華O文","25713210","24632669","無","無"
"02074421","19920922","20221117","展業皮革鞋料企業社","CHAN-YEH LEATHER CO., LTD.","桃園市龍潭區中正里大同路１１號１樓","1 F., No. 11, Datong Rd., Zhongzheng Vil., Longtan Dist., Taoyuan City 325028, Taiwan (R.O.C.)","張O業","03-4704690","03-4990002","無","無"
"02075483","20071224","20230111","力國撞球運動器具行","LICOS BILLIARDS EQUIPMENT COMPANY","新北市新莊區永樂街262號","No. 262, Yongle St., Xinzhuang Dist., New Taipei City 242017, Taiwan (R.O.C.)","郭O昌","02-29962689","02-29932772","無","無"
