"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"36000193","19920828","20210815","立明球塞凡爾企業股份有限公司","LEE MIN BALL VALVE ENTERPRISE CO., LTD.","桃園市龜山區嶺頂里茶專路34號","No. 34, Chazhuan Rd., Lingding Vil., Guishan Dist., Taoyuan City 33349, Taiwan (R.O.C.)","卓O宜","03-3296528","03-3502863","有","有"
"36000454","19960123","20210813","來群實業股份有限公司","LAI CHUN INDUSTRY CO., LTD.","新北市三重區中正北路315巷6弄8之1號1樓","1 F., No. 8-1, Aly. 6, Ln. 315, Zhongzheng N. Rd., Sanchong Dist., New Taipei City 24157, Taiwan (R.O.C.)","黃O輝","02-29813994","02-29857007","有","有"
"36000594","19981113","20210814","鉅智機械股份有限公司","JIUH JYH PRECISION CO., LTD.","新北市土城區復興街20之1號","No. 20-1, Fuxing St., Tucheng Dist., New Taipei City 23678, Taiwan (R.O.C.)","黃O豪","02-22685766","02-22687961","有","有"
"36000742","19801030","20210813","維利錫品股份有限公司","WELLEY SOLDER CORPORATION","新北市新莊區民安路387巷9號之1","No. 9-1, Ln. 387, Min’an Rd., Xinzhuang Dist., New Taipei City 24258, Taiwan (R.O.C.)","江O一","02-22040646","02-22040647","有","有"
"36000911","20000506","20230408","三煜通信電機股份有限公司","SAN YUH COMM. CO., LTD.","新北市三重區重新路5段609巷16號3樓之1","3 F.-1, No. 16, Ln. 609, Sec. 5, Chongxin Rd., Sanchong Dist., New Taipei City 241408, Taiwan (R.O.C.)","陳O銘","02-29737676","02-29724202","有","有"
"36001643","19820302","20210814","福記塑膠工業有限公司","FU GEE PLASTIC INDUSTRIAL CO., LTD.","桃園市蘆竹區內厝里長安路2段42號","No. 42, Sec. 2, Chang’an Rd., Neicuo Vil., Luzhu Dist., Taoyuan City 33852, Taiwan (R.O.C.)","黃O士","02-29928018","","有","有"
"36002191","19950908","20210814","在祥機械股份有限公司","KONPRO PUMP MFG. CO., LTD.","新北市樹林區東豐街49巷50號","No. 50, Ln. 49, Dongfeng St., Shulin Dist., New Taipei City 23874, Taiwan (R.O.C.)","陳O麟","02-86852770","02-86867676","有","有"
"36002220","19930304","20210813","虎將興業股份有限公司","G-PRO INDUSTRIES CORP.","彰化縣鹿港鎮詔安里田洋巷33號","No. 33, Tianyang Ln., Zhao’an Vil., Lukang Township, Changhua County 50545, Taiwan (R.O.C.)","陳O蘭","047-760106","047-760206","有","有"
"36002544","19810423","20210812","吉勤企業有限公司","SHYE JENN ELECTRIC MFG. CO., LTD.","新北市新莊區化成路267巷58號","No. 58, Ln. 267, Huacheng Rd., Xinzhuang Dist., New Taipei City 24252, Taiwan (R.O.C.)","洪O隆","02-29912206","","有","有"
"36002565","19970708","20210814","亞日企業股份有限公司","AIZEE ENTERPRISE CO., LTD.","新北市三重區光復路1段99巷17號","No. 17, Ln. 99, Sec. 1, Guangfu Rd., Sanchong Dist., New Taipei City 24158, Taiwan (R.O.C.)","黎O伶","02-29849638","","有","有"
"36002592","19980527","20210815","恒模精密工業股份有限公司","FING-MORE PRECISION INDUSTRY CO., LTD.","新北市新莊區化成路83巷50號","No. 50, Ln. 83, Huacheng Rd., Xinzhuang Dist., New Taipei City 24252, Taiwan (R.O.C.)","范O豪","02-29961133","02-29961769","有","有"
"36002946","19980219","20210813","紘達有限公司","FINE DAHO CO., LTD.","臺北市內湖區民權東路6段123巷28號5樓之3","5F.-3, No. 28, Ln. 123, Sec. 6, Minquan E. Rd., Neihu Dist., Taipei City 11490, Taiwan (R.O.C.)","周O達","02-27921585","","有","有"
"36003874","19820320","20210812","正統熱體工業股份有限公司","CHENG TUANG HEATERS INDUSTRIAL CO., LTD.","新北市樹林區東興街55號","No. 55, Dongxing St., Shulin Dist., New Taipei City 23850, Taiwan (R.O.C.)","吳O嬌","02-86866740","","有","有"
"36004439","20031001","20210811","蘇葯局","SU CO.","新北市新莊區中平路６巷３７號","No. 37, Ln. 6, Zhongping Rd., Xinzhuang Dist., New Taipei City 24249, Taiwan (R.O.C.)","蘇O智","02-24417818","","有","有"
"36005275","19800618","20210815","藍泰實業有限公司","LUCKTIE ENTERPRISE CO., LTD.","新北市板橋區民治街52巷7弄5號2樓","2 F., No. 5, Aly. 7, Ln. 52, Minzhi St., Banqiao Dist., New Taipei City 22045, Taiwan (R.O.C.)","詹O造","02-22525747","","有","有"
"36005747","20061103","20210813","市鎮工業有限公司","SHR JEN INDUSTRY CO., LTD.","新北市三重區永安北路2段5巷27號","No. 27, Ln. 5, Sec. 2, Yong’an N. Rd., Sanchong Dist., New Taipei City 24153, Taiwan (R.O.C.)","劉O木","02-28572477","","有","有"
"36005991","19871023","20210813","川樂機電股份有限公司","CHUAN YAO MACHINERY & ELECTRICAL CORP.","桃園市中壢區中壢工業區合定路23號","No. 23, Heding Rd., Zhongli Dist., Taoyuan City 32061, Taiwan (R.O.C.)","簡O敏","03-4626369","03-4624813","有","有"
"36006350","19830414","20210813","若福工業股份有限公司","ROU FU INDUSTRY CO., LTD.","新北市泰山區德安街13號","No. 13, De’an St., Taishan Dist., New Taipei City 24355, Taiwan (R.O.C.)","洪O輝","02-29030064","02-29036415","有","有"
"36006725","19970709","20210814","鑫鐵企業股份有限公司","HSIN IRON ENTERPRISE INCORPORATION","新北市新莊區五權一路7號4樓之8","4F.-8, No. 7, Wuquan 1st Rd., Xinzhuang Dist., New Taipei City 24892, Taiwan (R.O.C.)","林O仁","02-22995537","02-22996021","有","有"
"36006892","20000424","20230922","北台企業有限公司","BE TAI ENTERPRISE CO., LTD.","新北市三重區中正北路530巷23號","No. 23, Ln. 530, Zhongzheng N. Rd., Sanchong Dist., New Taipei City 241027, Taiwan (R.O.C.)","施O發","29893895","29834608","有","有"
"36007674","20010410","20210811","佳興鐵工廠","JIA-SHING STEEL FACTORY","新北市新莊區化成路１１巷４１弄１號","No. 1, Aly. 41, Ln. 11, Huacheng Rd., Xinzhuang Dist., New Taipei City 24252, Taiwan (R.O.C.)","梁O貴","02-29936866","02-29913280","有","有"
"36007695","20231124","20231124","億昇水果行","Yi Sheng Grape Firm","新北市三重區中正北路１１１號","No. 111, Zhongzheng N. Rd., Sanchong Dist., New Taipei City 241037, Taiwan (R.O.C.)","周O甯","0928229126","","有","有"
"36007870","20010327","20210813","奇鋼精機廠有限公司","CHIKON INDUSTRIAL SEWING MACHINE CO., LTD.","新北市三重區溪尾街108巷2號","No. 2, Ln. 108, Xiwei St., Sanchong Dist., New Taipei City 24152, Taiwan (R.O.C.)","陳O弘","02-2286-8427","02-2287-8708","有","有"
"36008688","20240108","20240108","大新彈簧有限公司","Tashin Spring CO., LTD.","新北市新莊區新樹路257巷8號","No. 8, Ln. 257, Xinshu Rd., Xinzhuang Dist., New Taipei City 242066, Taiwan (R.O.C.)","林O宸","02-22066706","02-22066559","有","有"
"36008821","19880428","20210825","龍泉鋼業股份有限公司","LUNG CHVAN STEEL CO., LTD.","新北市五股區五工二路116巷11號","No. 11, Ln. 116, Wugong 2nd Rd., Wugu Dist., New Taipei City 24888, Taiwan (R.O.C.)","劉O芳","02-2991090-2","02-22991060","有","有"
"36008982","20010501","20240531","加健工業有限公司","CHIA CHIEN INDUSTRIAL CO., LTD.","新北市樹林區三龍街22號","No. 22, Sanlong St., Shulin Dist., New Taipei City 23866, Taiwan (R.O.C.)","黃O文","02-26892171","02-26891900","有","有"
"36009223","19920513","20210814","北譯精機股份有限公司","PEI-EI PRECISION MACHINERY CO., LTD.","桃園市龜山區嶺頂里茶專路14號","No. 14, Chazhuan Rd., Lingding Vil., Guishan Dist., Taoyuan City 33349, Taiwan (R.O.C.)","張O波","03-3195466","03-3191381","有","有"
"36009589","19800815","20230504","銘岱實業股份有限公司","BIG TIME AUTO PARTS MFG. CO., LTD.","臺南市仁德區保安里二仁路1段160號","No. 160, Sec. 1, Erren Rd., Bao’an Vil., Rende Dist., Tainan City 717015, Taiwan (R.O.C.)","黃O燕","06-2663121-4","06-2664126","有","有"
"36009997","19830606","20221103","大震網印機械股份有限公司","TA CHEN SCREEN PRINTER CO., LTD.","新北市三重區重陽路1段111之2號2樓","2 F., No. 111-2, Sec. 1, Chongyang Rd., Sanchong Dist., New Taipei City 241038, Taiwan (R.O.C.)","張O年","02-29999156","02-29996879","無","無"
"36010018","19800709","20210813","松如實業有限公司","SUNG RU INDUSTRIAL CO., LTD.","新北市樹林區大安路一四五巷二八號","No. 28, Ln. 145, Da’an Rd., Shulin Dist., New Taipei City 23847, Taiwan (R.O.C.)","賴O芳","02-26836300","","有","有"
"36010571","19970225","20211001","得興塗料工業有限公司","DU SHING PAINT INDUSTRIAL CO., LTD.","新北市泰山區大科一路233號之1","No. 233-1, Dake 1st Rd., Taishan Dist., New Taipei City 24346, Taiwan (R.O.C.)","何O村","02-22967130","","有","有"
"36010782","20210617","20210813","上原鐵工廠有限公司","SHANG YUAN Iron Works Ltd.","新北市三重區力行路2段136巷1弄 6號1樓","1 F., No. 6, Aly. 1, Ln. 136, Sec. 2, Lixing Rd., Sanchong Dist., New Taipei City 24156, Taiwan (R.O.C.)","邱O富","02-22802804","","有","有"
"36010853","19931022","20221216","明順灯飾有限公司","MING SHUN LIGHTING CO., LTD.","新北市三重區重陽路1段113巷1弄30號","No. 30, Aly. 1, Ln. 113, Sec. 1, Chongyang Rd., Sanchong Dist., New Taipei City 241038, Taiwan (R.O.C.)","何O傑","02-29711006","","有","有"
"36010869","19970607","20240420","東銀國際開發股份有限公司","EAST SILVER DEVELOPMENT CO., LTD.","臺北市大安區雲和街100號1樓","1 F., No. 100, Yunhe St., Da’an Dist., Taipei City 106018, Taiwan (R.O.C.)","陳O昌","02-29933859","02-29935326","有","有"
"36011092","19810401","20250415","臺灣晶體工業股份有限公司","TAIWAN CRYSTALS & GEMS, INC.","新北市新莊區思源路48號","No. 48, Siyuan Rd., Xinzhuang Dist., New Taipei City 24251, Taiwan (R.O.C.)","洪O敬","02-2991-6918","02-2994-7094","有","有"
"36011115","19990809","20210813","久本工業股份有限公司","CHIU PEN INDUSTRIAL CO., LTD.","新北市泰山區貴陽街55號","No. 55, Guiyang St., Taishan Dist., New Taipei City 24355, Taiwan (R.O.C.)","王O慶","(02)2904-4369","(02)2904-4639","有","有"
"36011446","20031212","20210814","信十工業有限公司","SHIN-SHI PLASTIC MOLD INDUSTRIAL, CO., LTD.","桃園市楊梅區富聯路225號","No. 225, Fulian Rd., Yangmei Dist., Taoyuan City 32649, Taiwan (R.O.C.)","朱O騰","02-8685-7173","02-8685-9277","有","有"
"36011467","19931229","20210813","北城超音波工業有限公司","PEI CHENG ULTRA. INDUSTRY CO., LTD.","新北市泰山區明志路2段320巷1弄9號(4樓)","4 F., No. 9, Aly. 1, Ln. 320, Sec. 2, Mingzhi Rd., Taishan Dist., New Taipei City 24356, Taiwan (R.O.C.)","王O中","02-22963731","02-22964747","有","有"
"36011749","19870812","20210813","龍福化工有限公司","LONG FULL CHEMICAL CO., LTD.","新北市新莊區中興街63號","No. 63, Zhongxing St., Xinzhuang Dist., New Taipei City 24244, Taiwan (R.O.C.)","陳O明","02-29936838","","有","有"
