"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"90000001","20230725","20240417","勝茄股份有限公司","Capadura CO., LTD.","新北市永和區永貞路79號","No. 79, Yongzhen Rd., Yonghe Dist., New Taipei City 234027, Taiwan (R.O.C.)","蔡O濬","0939008804","","有","有"
"90000109","20230208","20230208","掘金國際有限公司","Nuggets international CO., LTD.","新北市中和區福祥路56號11樓","11 F., No. 56, Fuxiang Rd., Zhonghe Dist., New Taipei City 235025, Taiwan (R.O.C.)","傅O君","0902288180","","有","有"
"90000115","20230119","20230119","舒孵生活有限公司","ShuFu Life CO., LTD.","新北市鶯歌區中山路319之1號3樓","3 F., No. 319-1, Zhongshan Rd., Yingge Dist., New Taipei City 239008, Taiwan (R.O.C.)","李O萱","0970015080","","有","有"
"90000136","20230118","20240917","文亮彩研實業有限公司","Wen Liang Color Art R&D Industrial CO., LTD.","新北市中和區中山路2段450號（1樓）","1F., No. 450, Sec. 2, Zhongshan Rd., Zhonghe Dist.,  New Taipei City 235029, Taiwan (R.O.C.)","李O文","02-22221293","","有","有"
"90000190","20220930","20230522","無限互動科技有限公司","BLOXMITH LTD.","高雄市左營區博愛二路366號7樓之6","7 F.-6, No. 366, Bo’ai 2nd Rd., Zuoying Dist., Kaohsiung City 813623, Taiwan (R.O.C.)","李O","07-5509369","","有","有"
"90000213","20230815","20250110","大瑀實業有限公司","DaYu Industrial CO., LTD.","高雄市仁武區鳳仁路95之18號2樓","2 F., No. 95-18, Fengren Rd., Renwu Dist., Kaohsiung City 814017, Taiwan (R.O.C.)","郭O月","0977168865","","有","有"
"90000298","20220926","20220926","樂宸實業有限公司","LeChen Industrial CO., LTD.","高雄市鳳山區過勇路188號15樓","15 F., No. 188, Guoyong Rd., Fengshan Dist., Kaohsiung City 830679, Taiwan (R.O.C.)","蕭O鈞","0933-271941","","有","有"
"90000353","20220908","20230322","尚溢蔬果有限公司","Shang Yi Vegetable and Fruit Co., Ltd.","高雄市旗山區福前街32之1號","No. 32-1, Fuqian St., Qishan Dist., Kaohsiung City 842048, Taiwan (R.O.C.)","柯O富","07-3731723","","有","有"
"90000396","20221214","20241231","羿鋐國際有限公司","yi hung international CO., LTD.","高雄市前鎮區中山二路2號13樓之3","13 F.-3, No. 2, Zhongshan 2nd Rd., Qianzhen Dist., Kaohsiung City 806611, Taiwan (R.O.C.)","林O宏","0929968789","","有","有"
"90000419","20221215","20221215","新灝貿易有限公司","SHINY HOPE TRADING CO., LTD.","高雄市鳥松區大同路2之110號","No. 2-110, Datong Rd., Niaosong Dist., Kaohsiung City 833169, Taiwan (R.O.C.)","蔡O諭","07-8128805","","有","有"
"90000516","20230515","20250207","山青股份有限公司","ShanCing CO., LTD.","高雄市路竹區北嶺六路77號2樓D區","2 F., No. 77, Beiling 6th Rd., Luzhu Dist., Kaohsiung City 821011, Taiwan (R.O.C.)","溫O宇","07-2692866","","有","有"
"90000522","20221208","20221208","紘定食品有限公司","Hong Ding Food CO., LTD.","高雄市苓雅區漢陽街50巷18之1號1樓","1 F., No. 18-1, Ln. 50, Hanyang St., Lingya Dist., Kaohsiung City 802024, Taiwan (R.O.C.)","紀O仁","0908810117","","有","有"
"90000537","20200417","20230727","貿威實業有限公司","Yu Chang Consulting Ltd.","新北市三重區洛陽街55巷12號5樓","5 F., No. 12, Ln. 55, Luoyang St., Sanchong Dist., New Taipei City 241029, Taiwan (R.O.C.)","黃O展","02-27072569","","有","有"
"90000570","20230413","20230413","風光傳媒有限公司","Glory Media LTD.","高雄市苓雅區光華一路206號10樓之10","10 F.-10, No. 206, Guanghua 1st Rd., Lingya Dist., Kaohsiung City 802466, Taiwan (R.O.C.)","龔O津","07-2695009","","有","有"
