"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"05000486","19881230","20210814","羊基企業有限公司","YOUNG-KID ENTERPRISE CO., LTD.","新北市新店區民權路161號3樓","3 F., No. 161, Minquan Rd., Xindian Dist., New Taipei City 23141, Taiwan (R.O.C.)","林O珍","02-23690245","02-23690237","有","有"
"05000970","19970410","20210813","大典興業有限公司","BIG DIENG ENTERPRISE CO., LTD.","臺北市文山區景興路153巷15號3樓之3","3 F.-3, No. 15, Ln. 153, Jingxing Rd., Wenshan Dist., Taipei City 11684, Taiwan (R.O.C.)","薛O興","02-29338922","02-29338945","有","有"
"05001529","20071115","20210813","隆盛欣企業有限公司","LONG SHENG HSIN ENTERPRISE CO., LTD.","新北市板橋區松柏里1鄰松柏街36巷2之3號","No. 2-3, Ln. 36, Songbo St., 1st Neighborhood, Songbo Vil., Banqiao Dist., New Taipei City 22044, Taiwan (R.O.C.)","鄭O芸","02-22518951","02-29664434","有","有"
"05001627","19790418","20210813","奇拓企業有限公司","LOXON LOCK CO.","臺北市中正區羅斯福路1段76號6樓","6 F., No. 76, Sec. 1, Roosevelt Rd., Zhongzheng Dist., Taipei City 10074, Taiwan (R.O.C.)","黃O南","02-2393-8886","02-2356-3693","有","有"
"05001730","20190430","20210814","九捷實業有限公司","DB WOODWORKING COMPANY","桃園市桃園區秀山路96巷32號","No. 32, Ln. 96, Xiushan Rd., Taoyuan Dist., Taoyuan City 33060, Taiwan (R.O.C.)","沈O賜","03-3371633","03-3358523","有","有"
"05001979","19790424","20210814","福聰實業有限公司","FORTUNE HONG ENTERPRISES CO., LTD.","臺北市中正區金門街12巷1弄8號1樓","1 F., No. 8, Aly. 1, Ln. 12, Kinmen St., Zhongzheng Dist., Taipei City 10081, Taiwan (R.O.C.)","洪O原","02-23214669","","有","有"
"05002061","19790514","20221109","長柏實業股份有限公司","CHANG PO ASSOCIATED CO., LTD.","臺北市大安區羅斯福路3段95號2樓之2","2 F.-2, No. 95, Sec. 3, Roosevelt Rd., Da'an Dist., Taipei City 106607, Taiwan (R.O.C.)","石O相","02-23635051","02-2363-5056","有","有"
"05002127","19790525","20210812","新霖實業有限公司","EARNEX ENTERPRISES CO., LTD.","臺北市大安區忠孝東路4段177號4樓之1","4 F.-1, No. 177, Sec. 4, Zhongxiao E. Rd., Da’an Dist., Taipei City 10690, Taiwan (R.O.C.)","王O培","02-27722472","","有","有"
"05002175","20121120","20210815","鑫辰國際企業管理顧問有限公司","XIN-CHEN MINERAL CO., INC.","臺北市中正區羅斯福路1段127號10樓","10 F., No. 127, Sec. 1, Roosevelt Rd., Zhongzheng Dist., Taipei City 10093, Taiwan (R.O.C.)","林O麟","02-23924891","02-23920919","有","有"
"05002359","19901128","20210814","鑫彥企業有限公司","SENARY STAR TRADING CO., LTD.","臺北市中正區和平西路2段12號1樓","1 F., No. 12, Sec. 2, Heping W. Rd., Zhongzheng Dist., Taipei City 10070, Taiwan (R.O.C.)","黃O城","02-23013135","02-23010648","有","有"
